date,object,value
2013-04-01,debt_service_dom,5198
2013-07-01,debt_service_dom,5813
2013-10-01,debt_service_dom,4878
2014-01-01,debt_service_dom,6085
2014-04-01,debt_service_dom,4474
2014-07-01,debt_service_dom,6614
2014-10-01,debt_service_dom,4916
2015-01-01,debt_service_dom,5671
2015-04-01,debt_service_dom,5574
2015-07-01,debt_service_dom,6958
2015-10-01,debt_service_dom,5510
2016-01-01,debt_service_dom,6689
2016-04-01,debt_service_dom,5538
2016-07-01,debt_service_dom,7423
2016-10-01,debt_service_dom,6082
2017-01-01,debt_service_dom,7091
2017-04-01,debt_service_dom,6010
2017-07-01,debt_service_dom,5981
2017-10-01,debt_service_dom,8077
2018-01-01,debt_service_dom,5907
2018-04-01,debt_service_dom,8400
2018-07-01,debt_service_dom,6212
2018-10-01,debt_service_dom,9371
2019-01-01,debt_service_dom,6010
2019-04-01,debt_service_dom,9282
2019-07-01,debt_service_dom,8557
2019-10-01,debt_service_dom,8391
2020-01-01,debt_service_dom,8494
2020-04-01,debt_service_dom,7947
2020-07-01,debt_service_dom,8973
2020-10-01,debt_service_dom,8356
2021-01-01,debt_service_dom,9141
2021-04-01,debt_service_dom,8903
2021-07-01,debt_service_dom,9370
2021-10-01,debt_service_dom,9881
2022-01-01,debt_service_dom,9098
2022-04-01,debt_service_dom,10378
2022-07-01,debt_service_dom,9327
2022-10-01,debt_service_dom,11750
2023-01-01,debt_service_dom,9430
2023-04-01,debt_service_dom,12458
2023-07-01,debt_service_dom,7542
2023-10-01,debt_service_dom,16181
2024-01-01,debt_service_dom,7658
1999-01-01,debt_service_ext,40
1999-04-01,debt_service_ext,179
1999-07-01,debt_service_ext,272
1999-10-01,debt_service_ext,394
2000-01-01,debt_service_ext,129
2000-04-01,debt_service_ext,397
2000-07-01,debt_service_ext,117
2000-10-01,debt_service_ext,544
2001-01-01,debt_service_ext,109
2001-04-01,debt_service_ext,363
2001-07-01,debt_service_ext,120
2001-10-01,debt_service_ext,558
2002-01-01,debt_service_ext,265
2002-04-01,debt_service_ext,360
2002-07-01,debt_service_ext,355
2002-10-01,debt_service_ext,712
2003-01-01,debt_service_ext,413
2003-04-01,debt_service_ext,424
2003-07-01,debt_service_ext,400
2003-10-01,debt_service_ext,646
2004-01-01,debt_service_ext,359
2004-04-01,debt_service_ext,392
2004-07-01,debt_service_ext,404
2004-10-01,debt_service_ext,604
2005-01-01,debt_service_ext,401
