state,district,stage,sex,date,teachers
Johor,Kota Tinggi,secondary,female,2017-01-01,959
Johor,Kota Tinggi,secondary,female,2018-01-01,1187
Johor,Kota Tinggi,secondary,female,2019-01-01,1169
Johor,Kota Tinggi,secondary,female,2020-01-01,1162
Johor,Kota Tinggi,secondary,female,2021-01-01,1164
Johor,Kota Tinggi,secondary,female,2022-01-01,1190
Johor,Kota Tinggi,secondary,female,2023-06-30,999
Johor,Kota Tinggi,secondary,female,2024-06-30,1018
Johor,Kota Tinggi,secondary,female,2025-06-30,1017
Johor,Kota Tinggi,secondary,male,2017-01-01,538
Johor,Kota Tinggi,secondary,male,2018-01-01,612
Johor,Kota Tinggi,secondary,male,2019-01-01,603
Johor,Kota Tinggi,secondary,male,2020-01-01,578
Johor,Kota Tinggi,secondary,male,2021-01-01,571
Johor,Kota Tinggi,secondary,male,2022-01-01,574
Johor,Kota Tinggi,secondary,male,2023-06-30,453
Johor,Kota Tinggi,secondary,male,2024-06-30,452
Johor,Kota Tinggi,secondary,male,2025-06-30,445
Johor,Kulai,primary,both,2017-01-01,2350
Johor,Kulai,primary,both,2018-01-01,1613
Johor,Kulai,primary,both,2019-01-01,1587
Johor,Kulai,primary,both,2020-01-01,1591
Johor,Kulai,primary,both,2021-01-01,1588
Johor,Kulai,primary,both,2022-01-01,1547
Johor,Kulai,primary,both,2023-06-30,2410
Johor,Kulai,primary,both,2024-06-30,2462
Johor,Kulai,primary,both,2025-06-30,2480
Johor,Kulai,primary,female,2017-01-01,1720
Johor,Kulai,primary,female,2018-01-01,1182
Johor,Kulai,primary,female,2019-01-01,1168
Johor,Kulai,primary,female,2020-01-01,1167
Johor,Kulai,primary,female,2021-01-01,1168
Johor,Kulai,primary,female,2022-01-01,1149
Johor,Kulai,primary,female,2023-06-30,1799
Johor,Kulai,primary,female,2024-06-30,1833
Johor,Kulai,primary,female,2025-06-30,1844
Johor,Kulai,primary,male,2017-01-01,630
Johor,Kulai,primary,male,2018-01-01,431
Johor,Kulai,primary,male,2019-01-01,419
Johor,Kulai,primary,male,2020-01-01,424
Johor,Kulai,primary,male,2021-01-01,420
Johor,Kulai,primary,male,2022-01-01,398
Johor,Kulai,primary,male,2023-06-30,611
Johor,Kulai,primary,male,2024-06-30,629
Johor,Kulai,primary,male,2025-06-30,636
Johor,Kulai,secondary,both,2017-01-01,1718
Johor,Kulai,secondary,both,2018-01-01,1231
Johor,Kulai,secondary,both,2019-01-01,1247
Johor,Kulai,secondary,both,2020-01-01,1229
Johor,Kulai,secondary,both,2021-01-01,1203
Johor,Kulai,secondary,both,2022-01-01,1248
Johor,Kulai,secondary,both,2023-06-30,1811
Johor,Kulai,secondary,both,2024-06-30,1835
Johor,Kulai,secondary,both,2025-06-30,1843
Johor,Kulai,secondary,female,2017-01-01,1264
Johor,Kulai,secondary,female,2018-01-01,907
Johor,Kulai,secondary,female,2019-01-01,934
Johor,Kulai,secondary,female,2020-01-01,921
Johor,Kulai,secondary,female,2021-01-01,914
Johor,Kulai,secondary,female,2022-01-01,950
Johor,Kulai,secondary,female,2023-06-30,1375
Johor,Kulai,secondary,female,2024-06-30,1401
Johor,Kulai,secondary,female,2025-06-30,1410
Johor,Kulai,secondary,male,2017-01-01,454
Johor,Kulai,secondary,male,2018-01-01,324
Johor,Kulai,secondary,male,2019-01-01,313
Johor,Kulai,secondary,male,2020-01-01,308
Johor,Kulai,secondary,male,2021-01-01,289
Johor,Kulai,secondary,male,2022-01-01,298
Johor,Kulai,secondary,male,2023-06-30,436
Johor,Kulai,secondary,male,2024-06-30,434
Johor,Kulai,secondary,male,2025-06-30,433
Johor,Mersing,primary,both,2017-01-01,821
Johor,Mersing,primary,both,2018-01-01,855
Johor,Mersing,primary,both,2019-01-01,824
Johor,Mersing,primary,both,2020-01-01,825
Johor,Mersing,primary,both,2021-01-01,818
Johor,Mersing,primary,both,2022-01-01,803
Johor,Mersing,primary,both,2023-06-30,785
Johor,Mersing,primary,both,2024-06-30,815
Johor,Mersing,primary,both,2025-06-30,843
Johor,Mersing,primary,female,2017-01-01,498
Johor,Mersing,primary,female,2018-01-01,518
Johor,Mersing,primary,female,2019-01-01,496
