arrest_types,date,sex,ethnicity,drug_arrests
supply,2022-01-01,male,non_citizens,1211
supply,2022-01-01,female,non_citizens,234
posses,2022-01-01,both,non_citizens,3762
posses,2022-01-01,male,non_citizens,3402
posses,2022-01-01,female,non_citizens,360
urine_positive,2022-01-01,both,non_citizens,3403
urine_positive,2022-01-01,male,non_citizens,2948
urine_positive,2022-01-01,female,non_citizens,455
overall,2023-01-01,both,non_citizens,12019
overall,2023-01-01,male,non_citizens,10330
overall,2023-01-01,female,non_citizens,1689
supply,2023-01-01,both,non_citizens,2038
supply,2023-01-01,male,non_citizens,1688
supply,2023-01-01,female,non_citizens,351
posses,2023-01-01,both,non_citizens,4649
posses,2023-01-01,male,non_citizens,4227
posses,2023-01-01,female,non_citizens,422
urine_positive,2023-01-01,both,non_citizens,5331
urine_positive,2023-01-01,male,non_citizens,4415
urine_positive,2023-01-01,female,non_citizens,916
