series,date,domain,registrations
cumulative,2013-12-01,.com.my,7886
cumulative,2014-01-01,.com.my,12323
cumulative,2014-02-01,.com.my,14544
cumulative,2014-03-01,.com.my,14705
cumulative,2014-04-01,.com.my,14733
cumulative,2014-05-01,.com.my,14775
cumulative,2014-06-01,.com.my,14895
cumulative,2014-07-01,.com.my,14928
cumulative,2014-08-01,.com.my,14983
cumulative,2014-09-01,.com.my,15128
cumulative,2014-10-01,.com.my,15098
cumulative,2014-11-01,.com.my,15303
cumulative,2014-12-01,.com.my,14364
cumulative,2015-01-01,.com.my,12286
cumulative,2015-02-01,.com.my,10907
cumulative,2015-03-01,.com.my,10457
