date,volume,value
2023-12-06,71364,234839433.19
2023-12-07,29957,269717381.04
2023-12-08,26864,266478519.66
2023-12-11,214041,281164319.54
2023-12-12,45447,303835590.85
2023-12-13,42967,339386047.79
2023-12-14,14219,219873647.74
2023-12-15,23302,215989564.08
2023-12-18,33756,206384485.02
2023-12-19,21727,266121521.51
2023-12-20,40075,259277572.24
2023-12-21,19925,214292849.03
2023-12-22,15556,198496481.1
2023-12-26,126412,364542741.76
2023-12-27,87541,476370506.23
2023-12-28,101377,295799683.07
2023-12-29,22425,246794631.3
2024-01-02,127768,328004857.06
2024-01-03,88123,467221365.61
2024-01-04,46566,214955017.29
2024-01-05,88125,336426101.18
2024-01-08,41634,242311275.83
2024-01-09,23947,388359785.39
2024-01-10,140111,298471983.16
2024-01-11,24681,317249824.33
2024-01-12,101100,218560277.19
2024-01-15,66603,291261486.27
2024-01-16,19504,285358362.1
2024-01-17,28137,211289518.49
2024-01-18,18507,251115989.9
2024-01-19,8340,164785333.8
2024-01-22,27204,186182400.49
2024-01-23,19584,273231615.23
2024-01-24,43553,238493659.32
2024-01-26,136063,244083441.0
2024-01-29,146686,371038523.89
2024-01-30,42272,380143053.22
2024-01-31,26583,484658883.58
2024-02-02,156739,362804496.55
2024-02-05,101698,366218499.78
2024-02-06,26264,368055959.88
2024-02-07,105524,344187882.18
2024-02-08,23144,338892434.31
2024-02-09,15987,259881064.57
2024-02-13,180206,250774173.55
2024-02-14,83390,315379556.35
2024-02-15,46476,351558374.29
2024-02-16,14833,218302417.05
2024-02-19,25505,200491041.8
2024-02-20,24543,262895771.2
2024-02-21,35805,281658038.13
2024-02-22,11461,233102002.95
2024-02-23,18961,205167460.72
2024-02-26,130841,233200034.7
2024-02-27,89674,419259844.38
2024-02-28,115534,341196082.74
2024-02-29,30689,419682223.27
2024-03-01,85225,245210198.83
2024-03-04,120998,334159937.92
2024-03-05,55897,360030709.33
2024-03-06,111795,464225878.7
2024-03-07,19826,233872775.44
2024-03-08,17330,266063091.37
2024-03-11,211220,326049675.82
2024-03-12,53953,361071260.13
2024-03-13,43662,335344933.65
2024-03-14,10677,276889911.92
2024-03-15,23629,213583228.46
2024-03-18,35120,244405825.98
2024-03-19,20985,264946441.4
2024-03-20,37598,296283089.61
2024-03-21,15496,239389814.5
2024-03-22,8921,166953014.52
2024-03-25,127726,226419573.37
2024-03-26,29814,336282505.12
2024-03-27,83807,577757052.04
2024-03-29,112890,536196878.79
2024-04-01,61784,438229410.51
2024-04-02,78160,396917986.81
2024-04-03,90195,318277990.86
2024-04-04,74214,459249263.54
2024-04-05,111030,286140148.26
2024-04-08,50689,338365272.7
2024-04-09,30669,414746560.81
2024-04-12,219289,546007848.94
2024-04-15,62876,343202305.54
2024-04-16,17905,346316290.14
2024-04-17,48440,287442890.67
2024-04-18,22203,216818934.45
2024-04-19,8615,208332946.06
2024-04-22,25569,194559414.59
2024-04-23,22402,288716225.63
2024-04-24,38092,258848080.63
2024-04-25,118697,259203580.94
2024-04-26,24097,246478605.42
2024-04-29,168277,402550388.94
2024-04-30,37902,411030977.5
2024-05-02,185806,359517653.05
2024-05-03,110729,351699435.64
2024-05-06,84718,273329476.6
2024-05-07,28330,362731113.3
2024-05-08,39359,385461730.19
2024-05-09,30877,285279474.11
2024-05-10,174285,302555211.0
2024-05-13,90438,221376272.64
2024-05-14,16548,392523105.46
2024-05-15,42945,317260172.16
2024-05-16,20718,232792179.17
2024-05-17,9495,174524683.07
2024-05-20,35743,205318101.42
2024-05-21,20824,287127376.19
2024-05-23,48019,278824872.15
2024-05-24,88216,272411275.86
2024-05-27,160379,244668975.39
2024-05-28,79257,401192171.91
2024-05-29,51611,470686959.47
2024-05-30,12920,275293807.65
2024-05-31,10708,214023247.72
2024-06-04,169747,280858979.95
2024-06-05,171019,567289005.15
2024-06-06,53641,303842172.16
2024-06-07,17557,262339512.26
2024-06-10,225071,391809157.85
2024-06-11,37332,382986028.76
2024-06-12,61194,271581119.32
2024-06-13,21355,195778394.24
2024-07-02,107280,473612592.98
2024-07-03,65186,370894696.15
2024-07-04,55642,272746394.15
2024-07-05,77774,263261709.33
2024-07-09,54484,344144427.85
2024-07-10,188016,479025280.24
2024-07-11,94385,317816782.22
2024-07-12,16386,243554383.33
2024-07-15,43174,318593637.99
2024-07-16,22542,338768106.14
2024-07-17,28036,259445021.9
2024-07-18,21039,204973879.8
2024-07-19,12404,179201860.55
2024-07-22,29272,238972552.32
2024-07-23,26737,291187250.3
2024-07-24,44857,320427551.15
2024-07-25,124382,275448590.8
2024-07-26,23921,177898702.97
2024-07-29,130296,498383532.31
2024-07-30,69604,348841921.79
2024-07-31,24015,378508779.47
2024-08-01,74235,156581912.28
2024-08-02,123699,321419150.92
2024-08-05,125247,358271610.9
2024-08-06,28641,294450637.25
2024-08-07,73310,348075070.96
2024-08-08,23377,304037490.27
2024-08-09,18725,223399616.03
2024-08-12,141501,262432783.32
2024-08-13,16262,355672436.61
2024-08-14,41348,337522941.12
2024-08-15,87606,260697258.68
2024-08-16,61205,264983516.34
2024-08-19,30782,192440440.7
2024-08-20,20605,275970945.43
2024-08-21,37509,276580675.67
2024-08-22,12731,191112943.64
2024-08-23,23815,131988605.25
2024-08-26,141886,236587607.34
2024-08-27,118514,332709063.48
2024-08-28,99455,262118981.85
2024-08-29,28090,249661298.13
2024-08-30,12430,413154403.98
2024-09-02,136585,294408994.36
2024-09-03,120753,288368748.56
2024-09-04,70782,402368258.77
2024-09-05,81924,241074827.25
2024-09-06,23213,219638147.12
2024-09-09,36754,301750975.61
2024-09-10,185282,390166092.81
2024-09-11,105689,330080846.17
2024-09-12,21074,299045962.65
2024-09-13,17220,199075019.26
2024-09-17,39710,152814367.76
2024-09-18,17959,265899603.45
2024-09-19,40237,369505307.53
2024-09-20,12348,267063016.49
2024-09-23,34016,224745579.01
2024-09-24,13220,258468005.66
2024-09-25,172205,333055224.89
2024-09-26,29047,266459843.62
