year,state,jobs,addicts
2021-01-01,Perlis,pengangkutan,10
2022-01-01,Perlis,pengangkutan,8
2023-01-01,Perlis,pengangkutan,
2020-01-01,Pulau Pinang,pengangkutan,59
2021-01-01,Pulau Pinang,pengangkutan,46
2022-01-01,Pulau Pinang,pengangkutan,115
2023-01-01,Pulau Pinang,pengangkutan,
2020-01-01,Sabah,pengangkutan,31
2021-01-01,Sabah,pengangkutan,16
2022-01-01,Sabah,pengangkutan,15
2023-01-01,Sabah,pengangkutan,
2020-01-01,Sarawak,pengangkutan,12
2021-01-01,Sarawak,pengangkutan,17
2022-01-01,Sarawak,pengangkutan,46
2023-01-01,Sarawak,pengangkutan,
2020-01-01,Selangor,pengangkutan,133
2021-01-01,Selangor,pengangkutan,172
2022-01-01,Selangor,pengangkutan,230
2023-01-01,Selangor,pengangkutan,
2020-01-01,Terengganu,pengangkutan,53
2021-01-01,Terengganu,pengangkutan,36
2022-01-01,Terengganu,pengangkutan,48
2023-01-01,Terengganu,pengangkutan,
2020-01-01,W.P. Kuala Lumpur,pengangkutan,62
2021-01-01,W.P. Kuala Lumpur,pengangkutan,52
2022-01-01,W.P. Kuala Lumpur,pengangkutan,77
2023-01-01,W.P. Kuala Lumpur,pengangkutan,
2020-01-01,W.P. Labuan,pengangkutan,5
2021-01-01,W.P. Labuan,pengangkutan,2
2022-01-01,W.P. Labuan,pengangkutan,5
2023-01-01,W.P. Labuan,pengangkutan,
2020-01-01,W.P. Putrajaya,pengangkutan,
2021-01-01,W.P. Putrajaya,pengangkutan,2
2022-01-01,W.P. Putrajaya,pengangkutan,4
2023-01-01,W.P. Putrajaya,pengangkutan,
2016-01-01,Malaysia,pengurusan,215
2017-01-01,Malaysia,pengurusan,247
2018-01-01,Malaysia,pengurusan,207
2019-01-01,Malaysia,pengurusan,253
2020-01-01,Malaysia,pengurusan,257
2021-01-01,Malaysia,pengurusan,220
2022-01-01,Malaysia,pengurusan,266
2023-01-01,Malaysia,pengurusan,
2020-01-01,Johor,pengurusan,29
2021-01-01,Johor,pengurusan,17
2022-01-01,Johor,pengurusan,19
2023-01-01,Johor,pengurusan,
2020-01-01,Kedah,pengurusan,4
2021-01-01,Kedah,pengurusan,12
2022-01-01,Kedah,pengurusan,14
2023-01-01,Kedah,pengurusan,
2020-01-01,Kelantan,pengurusan,11
2021-01-01,Kelantan,pengurusan,18
