date,state,parlimen,dun,poverty_absolute
2024-01-01,Kelantan,P.022 Pasir Mas,N.12 Pengkalan Pasir,4.1
2019-01-01,Kelantan,P.022 Pasir Mas,N.13 Meranti,16.9
2022-01-01,Kelantan,P.022 Pasir Mas,N.13 Meranti,5.4
2024-01-01,Kelantan,P.022 Pasir Mas,N.13 Meranti,8.2
2019-01-01,Kelantan,P.023 Rantau Panjang,N.14 Chetok,12.0
2022-01-01,Kelantan,P.023 Rantau Panjang,N.14 Chetok,7.7
2024-01-01,Kelantan,P.023 Rantau Panjang,N.14 Chetok,16.2
2019-01-01,Kelantan,P.023 Rantau Panjang,N.15 Gual Periok,18.7
2022-01-01,Kelantan,P.023 Rantau Panjang,N.15 Gual Periok,8.8
2024-01-01,Kelantan,P.023 Rantau Panjang,N.15 Gual Periok,6.7
2019-01-01,Kelantan,P.023 Rantau Panjang,N.16 Apam Putra,15.7
2022-01-01,Kelantan,P.023 Rantau Panjang,N.16 Apam Putra,11.6
2024-01-01,Kelantan,P.023 Rantau Panjang,N.16 Apam Putra,13.3
2019-01-01,Kelantan,P.024 Kubang Kerian,N.17 Salor,4.5
2022-01-01,Kelantan,P.024 Kubang Kerian,N.17 Salor,19.6
2024-01-01,Kelantan,P.024 Kubang Kerian,N.17 Salor,16.9
2019-01-01,Kelantan,P.024 Kubang Kerian,N.18 Pasir Tumboh,12.5
2022-01-01,Kelantan,P.024 Kubang Kerian,N.18 Pasir Tumboh,6.7
2024-01-01,Kelantan,P.024 Kubang Kerian,N.18 Pasir Tumboh,10.2
2019-01-01,Kelantan,P.024 Kubang Kerian,N.19 Demit,10.3
2022-01-01,Kelantan,P.024 Kubang Kerian,N.19 Demit,9.0
2024-01-01,Kelantan,P.024 Kubang Kerian,N.19 Demit,8.5
2019-01-01,Kelantan,P.025 Bachok,N.20 Tawang,9.2
2022-01-01,Kelantan,P.025 Bachok,N.20 Tawang,11.5
2024-01-01,Kelantan,P.025 Bachok,N.20 Tawang,11.3
2019-01-01,Kelantan,P.025 Bachok,N.21 Pantai Irama,14.7
2022-01-01,Kelantan,P.025 Bachok,N.21 Pantai Irama,11.8
2024-01-01,Kelantan,P.025 Bachok,N.21 Pantai Irama,14.2
2019-01-01,Kelantan,P.025 Bachok,N.22 Jelawat,14.3
2022-01-01,Kelantan,P.025 Bachok,N.22 Jelawat,13.2
2024-01-01,Kelantan,P.025 Bachok,N.22 Jelawat,7.6
2019-01-01,Kelantan,P.026 Ketereh,N.23 Melor,9.9
2022-01-01,Kelantan,P.026 Ketereh,N.23 Melor,10.7
2024-01-01,Kelantan,P.026 Ketereh,N.23 Melor,10.5
2019-01-01,Kelantan,P.026 Ketereh,N.24 Kadok,13.6
2022-01-01,Kelantan,P.026 Ketereh,N.24 Kadok,9.9
2024-01-01,Kelantan,P.026 Ketereh,N.24 Kadok,10.9
2019-01-01,Kelantan,P.026 Ketereh,N.25 Kok Lanas,11.0
2022-01-01,Kelantan,P.026 Ketereh,N.25 Kok Lanas,13.1
2024-01-01,Kelantan,P.026 Ketereh,N.25 Kok Lanas,8.9
2019-01-01,Kelantan,P.027 Tanah Merah,N.26 Bukit Panau,6.6
2022-01-01,Kelantan,P.027 Tanah Merah,N.26 Bukit Panau,15.0
2024-01-01,Kelantan,P.027 Tanah Merah,N.26 Bukit Panau,12.2
2019-01-01,Kelantan,P.027 Tanah Merah,N.27 Gual Ipoh,21.8
2022-01-01,Kelantan,P.027 Tanah Merah,N.27 Gual Ipoh,23.1
2024-01-01,Kelantan,P.027 Tanah Merah,N.27 Gual Ipoh,22.6
2019-01-01,Kelantan,P.027 Tanah Merah,N.28 Kemahang,13.6
2022-01-01,Kelantan,P.027 Tanah Merah,N.28 Kemahang,14.6
2024-01-01,Kelantan,P.027 Tanah Merah,N.28 Kemahang,18.8
2019-01-01,Kelantan,P.028 Pasir Puteh,N.29 Selising,9.9
2022-01-01,Kelantan,P.028 Pasir Puteh,N.29 Selising,15.2
2024-01-01,Kelantan,P.028 Pasir Puteh,N.29 Selising,5.7
2019-01-01,Kelantan,P.028 Pasir Puteh,N.30 Limbongan,10.5
2022-01-01,Kelantan,P.028 Pasir Puteh,N.30 Limbongan,16.6
2024-01-01,Kelantan,P.028 Pasir Puteh,N.30 Limbongan,12.1
2019-01-01,Kelantan,P.028 Pasir Puteh,N.31 Semerak,17.6
2022-01-01,Kelantan,P.028 Pasir Puteh,N.31 Semerak,11.9
2024-01-01,Kelantan,P.028 Pasir Puteh,N.31 Semerak,12.9
2019-01-01,Kelantan,P.028 Pasir Puteh,N.32 Gaal,16.6
2022-01-01,Kelantan,P.028 Pasir Puteh,N.32 Gaal,19.1
2024-01-01,Kelantan,P.028 Pasir Puteh,N.32 Gaal,14.0
2019-01-01,Kelantan,P.029 Machang,N.33 Pulai Chondong,2.5
2022-01-01,Kelantan,P.029 Machang,N.33 Pulai Chondong,12.2
2024-01-01,Kelantan,P.029 Machang,N.33 Pulai Chondong,7.3
2019-01-01,Kelantan,P.029 Machang,N.34 Temangan,9.6
2022-01-01,Kelantan,P.029 Machang,N.34 Temangan,13.6
2024-01-01,Kelantan,P.029 Machang,N.34 Temangan,3.6
2019-01-01,Kelantan,P.029 Machang,N.35 Kemuning,7.9
2022-01-01,Kelantan,P.029 Machang,N.35 Kemuning,11.4
2024-01-01,Kelantan,P.029 Machang,N.35 Kemuning,9.5
