state,type,date,sex,abs,rate
Pahang,neonatal,2021-01-01,female,45,3.786922494319617
Pahang,neonatal,2021-01-01,male,64,5.069708491761723
Pahang,neonatal,2022-01-01,both,94,4.0
Pahang,neonatal,2022-01-01,female,44,3.9
Pahang,neonatal,2022-01-01,male,50,4.1
Pahang,neonatal,2024-01-01,both,89,4.1
Pahang,neonatal,2024-01-01,female,44,4.3
Pahang,neonatal,2024-01-01,male,45,4.0
Pahang,infant,2017-01-01,both,205,7.439666122300853
Pahang,infant,2017-01-01,female,82,6.099375185956561
Pahang,infant,2017-01-01,male,123,8.716604067748564
Pahang,infant,2018-01-01,both,197,7.3
Pahang,infant,2018-01-01,female,88,6.7
Pahang,infant,2018-01-01,male,109,7.8
Pahang,infant,2019-01-01,both,183,7.099627560521416
Pahang,infant,2019-01-01,female,88,7.192066015595428
Pahang,infant,2019-01-01,male,95,7.002466778069547
Pahang,infant,2020-01-01,both,140,5.538193757664464
Pahang,infant,2020-01-01,female,64,5.210877707213809
Pahang,infant,2020-01-01,male,76,5.84750326998538
Pahang,infant,2021-01-01,both,148,6.039090871995756
Pahang,infant,2021-01-01,female,70,5.890768324497181
Pahang,infant,2021-01-01,male,78,6.178707224334601
Pahang,infant,2022-01-01,both,164,7.0
Pahang,infant,2022-01-01,female,75,6.6
Pahang,infant,2022-01-01,male,89,7.3
Pahang,infant,2024-01-01,both,138,6.4
Pahang,infant,2024-01-01,female,61,5.9
Pahang,infant,2024-01-01,male,77,6.9
Perak,neonatal,2017-01-01,both,161,4.621390435731098
Perak,neonatal,2017-01-01,female,72,4.264139769025762
Perak,neonatal,2017-01-01,male,89,4.9573887372583965
Perak,neonatal,2018-01-01,both,150,4.4
Perak,neonatal,2018-01-01,female,77,4.7
Perak,neonatal,2018-01-01,male,73,4.2
Perak,neonatal,2019-01-01,both,147,4.469035965098957
Perak,neonatal,2019-01-01,female,66,4.154601535943598
Perak,neonatal,2019-01-01,male,81,4.762744752160875
Perak,neonatal,2020-01-01,both,143,4.534931658897029
Perak,neonatal,2020-01-01,female,62,4.108681245858184
Perak,neonatal,2020-01-01,male,81,4.926108374384237
Perak,neonatal,2021-01-01,both,130,4.21858774662513
Perak,neonatal,2021-01-01,female,56,3.7189533802629833
Perak,neonatal,2021-01-01,male,74,4.6960274146465295
Perak,neonatal,2022-01-01,both,139,4.7
Perak,neonatal,2022-01-01,female,62,4.3
Perak,neonatal,2022-01-01,male,77,5.1
Perak,neonatal,2024-01-01,both,139,5.0
Perak,neonatal,2024-01-01,female,53,3.9
Perak,neonatal,2024-01-01,male,86,6.1
Perak,infant,2017-01-01,both,242,6.946437797806992
Perak,infant,2017-01-01,female,108,6.396209653538644
Perak,infant,2017-01-01,male,134,7.463933604411519
Perak,infant,2018-01-01,both,223,6.6
Perak,infant,2018-01-01,female,111,6.8
Perak,infant,2018-01-01,male,112,6.4
Perak,infant,2019-01-01,both,230,6.992369197093606
Perak,infant,2019-01-01,female,104,7.4087140589169165
Perak,infant,2019-01-01,male,126,6.546644844517186
Perak,infant,2020-01-01,both,197,6.247423334284718
Perak,infant,2020-01-01,female,85,5.632869449966865
Perak,infant,2020-01-01,male,112,6.811409110259685
Perak,infant,2021-01-01,both,192,6.230529595015576
Perak,infant,2021-01-01,female,88,5.844069597556116
Perak,infant,2021-01-01,male,104,6.599822312476203
Perak,infant,2022-01-01,both,216,7.3
Perak,infant,2022-01-01,female,93,6.5
Perak,infant,2022-01-01,male,123,8.1
Perak,infant,2024-01-01,both,210,7.6
Perak,infant,2024-01-01,female,85,6.3
Perak,infant,2024-01-01,male,125,8.8
Perlis,neonatal,2017-01-01,both,11,2.4735776928266247
Perlis,neonatal,2017-01-01,female,4,1.9047619047619049
Perlis,neonatal,2017-01-01,male,7,2.982530890498509
Perlis,neonatal,2018-01-01,both,28,6.4
Perlis,neonatal,2018-01-01,female,16,7.5
Perlis,neonatal,2018-01-01,male,12,5.3
Perlis,neonatal,2019-01-01,both,18,4.451038575667656
Perlis,neonatal,2019-01-01,female,7,3.680336487907466
Perlis,neonatal,2019-01-01,male,11,5.135387488328665
Perlis,neonatal,2020-01-01,both,27,6.588579795021962
Perlis,neonatal,2020-01-01,female,10,5.015045135406218
Perlis,neonatal,2020-01-01,male,17,8.079847908745247
Perlis,neonatal,2021-01-01,both,21,5.152109911678116
Perlis,neonatal,2021-01-01,female,13,6.742738589211618
Perlis,neonatal,2021-01-01,male,8,3.7243947858473
Perlis,neonatal,2022-01-01,both,24,6.4
Perlis,neonatal,2022-01-01,female,10,5.6
Perlis,neonatal,2022-01-01,male,14,7.1
Perlis,neonatal,2024-01-01,both,23,6.4
Perlis,neonatal,2024-01-01,female,10,5.7
Perlis,neonatal,2024-01-01,male,13,7.1
Perlis,infant,2017-01-01,both,25,5.621767483696874
Perlis,infant,2017-01-01,female,10,4.761904761904763
Perlis,infant,2017-01-01,male,15,6.391137622496805
Perlis,infant,2018-01-01,both,39,8.9
Perlis,infant,2018-01-01,female,25,11.8
Perlis,infant,2018-01-01,male,14,6.2
Perlis,infant,2019-01-01,both,23,5.687438180019782
Perlis,infant,2019-01-01,female,8,7.002801120448179
Perlis,infant,2019-01-01,male,15,4.206098843322818
Perlis,infant,2020-01-01,both,35,8.54075158613958
Perlis,infant,2020-01-01,female,13,6.519558676028084
Perlis,infant,2020-01-01,male,22,10.456273764258556
Perlis,infant,2021-01-01,both,31,7.605495583905791
Perlis,infant,2021-01-01,female,19,9.854771784232366
Perlis,infant,2021-01-01,male,12,5.58659217877095
Perlis,infant,2022-01-01,both,35,9.3
Perlis,infant,2022-01-01,female,12,6.7
Perlis,infant,2022-01-01,male,23,11.7
Perlis,infant,2024-01-01,both,31,8.7
Perlis,infant,2024-01-01,female,17,9.7
Perlis,infant,2024-01-01,male,14,7.7
Pulau Pinang,neonatal,2017-01-01,both,83,3.866939992545658
Pulau Pinang,neonatal,2017-01-01,female,33,3.168202764976958
Pulau Pinang,neonatal,2017-01-01,male,50,4.525706010137582
Pulau Pinang,neonatal,2018-01-01,both,89,4.3
Pulau Pinang,neonatal,2018-01-01,female,42,4.2
Pulau Pinang,neonatal,2018-01-01,male,47,4.4
Pulau Pinang,neonatal,2019-01-01,both,79,3.9213739700188626
Pulau Pinang,neonatal,2019-01-01,female,31,3.197854342892511
Pulau Pinang,neonatal,2019-01-01,male,48,4.5924225028702645
Pulau Pinang,neonatal,2020-01-01,both,70,3.569607343192249
Pulau Pinang,neonatal,2020-01-01,female,30,3.1789763696089857
Pulau Pinang,neonatal,2020-01-01,male,40,3.931976801336872
Pulau Pinang,neonatal,2021-01-01,both,66,3.5539281675730976
Pulau Pinang,neonatal,2021-01-01,female,31,3.421255932016334
Pulau Pinang,neonatal,2021-01-01,male,35,3.680336487907466
Pulau Pinang,neonatal,2022-01-01,both,63,3.6
Pulau Pinang,neonatal,2022-01-01,female,27,3.1
Pulau Pinang,neonatal,2022-01-01,male,36,4.0
Pulau Pinang,neonatal,2024-01-01,both,67,3.7
Pulau Pinang,neonatal,2024-01-01,female,24,2.8
Pulau Pinang,neonatal,2024-01-01,male,43,4.5
Pulau Pinang,infant,2017-01-01,both,125,5.82370480805069
Pulau Pinang,infant,2017-01-01,female,54,5.184331797235023
Pulau Pinang,infant,2017-01-01,male,71,6.4265025343953655
Pulau Pinang,infant,2018-01-01,both,133,6.4
Pulau Pinang,infant,2018-01-01,female,60,6.0
Pulau Pinang,infant,2018-01-01,male,73,6.8
Pulau Pinang,infant,2019-01-01,both,110,5.46014097091234
Pulau Pinang,infant,2019-01-01,female,43,6.41025641025641
Pulau Pinang,infant,2019-01-01,male,67,4.435733443367031
Pulau Pinang,infant,2020-01-01,both,100,5.099439061703213
Pulau Pinang,infant,2020-01-01,female,47,4.980396312387411
Pulau Pinang,infant,2020-01-01,male,53,5.209869261771355
Pulau Pinang,infant,2021-01-01,both,100,5.3847396478380265
Pulau Pinang,infant,2021-01-01,female,43,4.745613066990399
Pulau Pinang,infant,2021-01-01,male,57,5.993690851735016
Pulau Pinang,infant,2022-01-01,both,102,5.8
Pulau Pinang,infant,2022-01-01,female,42,4.8
Pulau Pinang,infant,2022-01-01,male,60,6.6
Pulau Pinang,infant,2024-01-01,both,111,6.1
Pulau Pinang,infant,2024-01-01,female,42,4.8
Pulau Pinang,infant,2024-01-01,male,69,7.3
Sabah,neonatal,2017-01-01,both,322,6.130063965884862
Sabah,neonatal,2017-01-01,female,130,5.116498740554156
Sabah,neonatal,2017-01-01,male,192,7.079646017699115
Sabah,neonatal,2018-01-01,both,335,6.3
Sabah,neonatal,2018-01-01,female,155,6.1
Sabah,neonatal,2018-01-01,male,180,6.5
Sabah,neonatal,2019-01-01,both,205,3.890976730061117
Sabah,neonatal,2019-01-01,female,93,3.6801076332555103
Sabah,neonatal,2019-01-01,male,112,4.085354732810505
Sabah,neonatal,2020-01-01,both,273,5.547652916073969
Sabah,neonatal,2020-01-01,female,129,5.497783839072622
Sabah,neonatal,2020-01-01,male,144,5.59310184106269
Sabah,neonatal,2021-01-01,both,232,5.575850797923477
Sabah,neonatal,2021-01-01,female,115,5.7316586921850075
Sabah,neonatal,2021-01-01,male,117,5.4307463795024145
Sabah,neonatal,2022-01-01,both,227,5.2
Sabah,neonatal,2022-01-01,female,90,4.3
Sabah,neonatal,2022-01-01,male,137,6.1
Sabah,neonatal,2024-01-01,both,224,5.3
Sabah,neonatal,2024-01-01,female,85,4.2
Sabah,neonatal,2024-01-01,male,139,6.4
Sabah,infant,2017-01-01,both,502,9.556807797745964
Sabah,infant,2017-01-01,female,205,8.068324937027707
Sabah,infant,2017-01-01,male,297,10.95132743362832
Sabah,infant,2018-01-01,both,534,10.1
Sabah,infant,2018-01-01,female,237,9.3
Sabah,infant,2018-01-01,male,297,10.8
Sabah,infant,2019-01-01,both,347,6.586189879664428
Sabah,infant,2019-01-01,female,158,6.894036111617727
Sabah,infant,2019-01-01,male,189,6.252225871552372
Sabah,infant,2020-01-01,both,419,8.514529567161146
Sabah,infant,2020-01-01,female,194,8.267984998295262
Sabah,infant,2020-01-01,male,225,8.739221626660452
Sabah,infant,2021-01-01,both,374,8.988656027686984
Sabah,infant,2021-01-01,female,178,8.871610845295056
Sabah,infant,2021-01-01,male,196,9.0976606015596
Sabah,infant,2022-01-01,both,392,9.0
Sabah,infant,2022-01-01,female,170,8.0
Sabah,infant,2022-01-01,male,222,9.9
Sabah,infant,2024-01-01,both,405,9.6
Sabah,infant,2024-01-01,female,169,8.3
Sabah,infant,2024-01-01,male,236,10.9
Sarawak,neonatal,2017-01-01,both,158,4.1961013438147345
Sarawak,neonatal,2017-01-01,female,62,3.4233338854839603
Sarawak,neonatal,2017-01-01,male,96,4.912244793532211
Sarawak,neonatal,2018-01-01,both,139,3.8
Sarawak,neonatal,2018-01-01,female,54,3.0
Sarawak,neonatal,2018-01-01,male,85,4.5
Sarawak,neonatal,2019-01-01,both,118,3.23837751797574
Sarawak,neonatal,2019-01-01,female,60,3.423875827436658
Sarawak,neonatal,2019-01-01,male,58,3.066511578724754
Sarawak,neonatal,2020-01-01,both,120,3.3946251768033946
Sarawak,neonatal,2020-01-01,female,43,2.533584727786943
Sarawak,neonatal,2020-01-01,male,77,4.18979214277941
Sarawak,neonatal,2021-01-01,both,97,3.10161795740871
Sarawak,neonatal,2021-01-01,female,42,2.7609781751249014
Sarawak,neonatal,2021-01-01,male,55,3.424231104470178
Sarawak,neonatal,2022-01-01,both,131,4.2
Sarawak,neonatal,2022-01-01,female,54,3.6
Sarawak,neonatal,2022-01-01,male,77,4.8
Sarawak,neonatal,2024-01-01,both,134,4.4
Sarawak,neonatal,2024-01-01,female,60,4.1
Sarawak,neonatal,2024-01-01,male,74,4.7
Sarawak,infant,2017-01-01,both,238,6.320709619163966
Sarawak,infant,2017-01-01,female,102,5.631936392247805
Sarawak,infant,2017-01-01,male,136,6.959013457503965
Sarawak,infant,2018-01-01,both,262,7.2
Sarawak,infant,2018-01-01,female,114,6.4
Sarawak,infant,2018-01-01,male,148,7.8
Sarawak,infant,2019-01-01,both,208,5.708326472364016
Sarawak,infant,2019-01-01,female,103,5.5514433752775725
Sarawak,infant,2019-01-01,male,105,5.877653503766263
Sarawak,infant,2020-01-01,both,200,5.657708628005658
Sarawak,infant,2020-01-01,female,79,4.654725430120198
Sarawak,infant,2020-01-01,male,121,6.583959081510502
Sarawak,infant,2021-01-01,both,152,4.860267314702308
Sarawak,infant,2021-01-01,female,71,4.667367867473048
Sarawak,infant,2021-01-01,male,81,5.042958535674262
Sarawak,infant,2022-01-01,both,183,5.9
Sarawak,infant,2022-01-01,female,83,5.5
Sarawak,infant,2022-01-01,male,100,6.3
Sarawak,infant,2024-01-01,both,221,7.3
Sarawak,infant,2024-01-01,female,92,6.3
Sarawak,infant,2024-01-01,male,129,8.3
Selangor,neonatal,2017-01-01,both,386,3.712002461846192
Selangor,neonatal,2017-01-01,female,185,3.6879036759429074
Selangor,neonatal,2017-01-01,male,201,3.734462961930773
