date,volume,value
2020-12-05,122574,45105175.1
2020-12-06,108734,36106415.21
2020-12-07,207164,112976688.55
2020-12-08,182688,105106780.83
2020-12-09,171976,105902973.53
2020-12-10,150585,108551499.18
2020-12-11,124396,84818513.43
2020-12-12,83019,37985712.08
2020-12-13,72738,28346024.35
2020-12-14,156416,98488195.68
2020-12-15,160588,127555090.65
2020-12-16,146759,107325999.08
2020-12-17,190023,113177463.74
2020-12-18,162440,114660848.62
2020-12-19,92503,38135933.63
2020-12-20,90601,31587649.3
2020-12-21,175131,114841171.03
2020-12-22,190650,129993352.47
2020-12-23,188121,140264298.64
2020-12-24,193257,156902446.19
2020-12-25,100459,39874667.23
2020-12-26,103991,36899665.99
2020-12-27,100917,34330214.72
2020-12-28,219397,174314068.11
2020-12-29,197732,176563487.14
2020-12-30,199362,186452345.07
2020-12-31,220920,169277040.66
2021-01-01,132241,45714659.52
2021-01-02,115653,41052618.98
2021-01-03,106004,37317010.57
2021-01-04,216394,108667406.82
2021-01-05,212704,112075980.35
2021-01-06,204484,107891535.78
2021-01-07,210741,118991358.92
2021-01-08,185527,122877970.92
2021-01-09,107676,46782007.64
2021-01-10,102109,37985353.08
2021-01-11,189287,119813183.05
2021-01-12,164565,112890389.31
2021-01-13,178439,119793932.46
2021-01-14,164972,103426583.36
2021-01-15,169051,129863227.9
2021-01-16,102415,41732693.76
2021-01-17,90948,32933737.15
2021-01-18,160670,118865261.93
2021-01-19,149557,108011209.35
2021-01-20,156542,118107498.86
2021-01-21,159556,127057001.23
2021-01-22,180479,131394294.15
2021-01-23,117481,43868780.72
2021-01-24,107296,35122655.12
2021-01-25,323156,180022726.76
2021-01-26,269356,153516549.25
2021-01-27,263675,224240440.51
2021-01-28,213222,93157826.1
2021-01-29,266230,261301767.48
2021-01-30,177879,62340221.03
2021-01-31,166013,54807529.05
2021-02-01,255864,100019317.36
2021-02-02,239223,118626379.93
2021-02-03,220825,109757592.99
2021-02-04,211892,110271542.18
2021-02-05,233350,130246194.16
2021-02-06,145049,55921196.4
2021-02-07,128978,42990633.4
2021-02-08,230410,132472053.8
2021-02-09,241526,129504646.39
