date,instrument,value,volume
2025-01-01,credit_f2f,10389811234.0,51201469.0
2025-02-01,credit_f2f,8088550465.999998,42205570.0
2025-03-01,credit_f2f,9034883800.0,46729707.0
2025-04-01,credit_f2f,8338450421.0,45592732.0
2025-05-01,credit_f2f,8803825736.0,48784216.0
2025-06-01,credit_f2f,8689041380.0,49661103.0
2025-07-01,credit_f2f,8671910737.000004,49931734.0
2025-08-01,credit_f2f,8957397417.0,51119710.0
2025-09-01,credit_f2f,8994562076.0,52364479.0
2025-10-01,credit_f2f,9033107512.0,51339522.0
2025-11-01,credit_f2f,9067131588.0,51044533.0
2025-12-01,credit_f2f,10396638832.0,56313848.0
2026-01-01,credit_f2f,9924242371.000004,53257611.0
2026-02-01,credit_f2f,8986782967.0,48560920.0
2026-03-01,credit_f2f,9163085938.0,50548924.0
2026-04-01,credit_f2f,8280502827.999996,47883545.0
2026-05-01,credit_f2f,8941230129.0,52493578.0
2026-06-01,credit_f2f,8601148493.0,51261921.0
2019-01-01,credit_online,,
2019-02-01,credit_online,,
2019-03-01,credit_online,,
2019-04-01,credit_online,5365519105.0,16277151.0
2019-05-01,credit_online,5800267630.0,17548850.0
2019-06-01,credit_online,5452320976.0,16982367.0
2019-07-01,credit_online,5923915738.0,18823608.0
2019-08-01,credit_online,5889596392.0,18678692.0
2019-09-01,credit_online,5753828652.0,18833204.0
2019-10-01,credit_online,6090158333.0,19683980.0
2019-11-01,credit_online,6317576430.0,20284531.0
2019-12-01,credit_online,6585619643.0,21294689.0
2020-01-01,credit_online,5958152417.0,19567672.0
2020-02-01,credit_online,5267325027.0,17776843.0
2020-03-01,credit_online,5160890716.0,18375747.0
2020-04-01,credit_online,4582750250.0,17354357.0
2020-05-01,credit_online,5312237885.0,19086302.0
2020-06-01,credit_online,5590548097.0,19695454.0
2020-07-01,credit_online,5977920773.0,20970393.0
2020-08-01,credit_online,5949441804.0,21210271.0
2020-09-01,credit_online,5923549389.0,21615680.0
2020-10-01,credit_online,5891269803.0,21726395.0
2020-11-01,credit_online,6160545882.0,22643924.0
2020-12-01,credit_online,6733487855.0,24158441.0
2021-01-01,credit_online,6218228054.0,23569363.0
2021-02-01,credit_online,5499761367.0,21521016.0
2021-03-01,credit_online,6580861946.0,25230779.0
2021-04-01,credit_online,6278010230.0,23771855.0
2021-05-01,credit_online,6527567135.0,25494837.0
2021-06-01,credit_online,6420260361.0,25959620.0
2021-07-01,credit_online,6777926675.0,27629091.0
2021-08-01,credit_online,7048609621.0,28401955.0
2021-09-01,credit_online,7211333768.0,28027066.0
2021-10-01,credit_online,7577861202.0,28413955.0
2021-11-01,credit_online,7864359914.0,28967156.0
2021-12-01,credit_online,8285986526.000001,29680976.0
2022-01-01,credit_online,7618408030.0,29122005.0
2022-02-01,credit_online,6399214515.0,25561468.0
2022-03-01,credit_online,7862301675.0,30007657.0
