series,date,group,index
index,2019-07-01,682,124.2
index,2019-07-01,691,104.2
index,2019-07-01,692,106.7
index,2019-07-01,711,102.5
index,2019-07-01,851,124.8
index,2019-07-01,852,131.8
index,2019-07-01,853,111.3
index,2019-07-01,854,110.9
index,2019-07-01,861,105.1
index,2019-07-01,862,107.5
index,2019-07-01,869,106.0
index,2019-07-01,920,100.1
index,2019-07-01,931,105.6
index,2019-07-01,932,106.9
index,2019-10-01,492,107.5
index,2019-10-01,501,100.4
index,2019-10-01,511,98.8
index,2019-10-01,512,114.5
index,2019-10-01,522,103.5
index,2019-10-01,531,121.0
index,2019-10-01,532,110.8
index,2019-10-01,551,103.0
index,2019-10-01,561,140.6
index,2019-10-01,562,121.1
index,2019-10-01,563,135.7
index,2019-10-01,611,99.0
index,2019-10-01,612,101.1
index,2019-10-01,620,103.3
index,2019-10-01,631,101.0
index,2019-10-01,682,124.2
index,2019-10-01,691,104.1
index,2019-10-01,692,106.7
index,2019-10-01,711,102.5
index,2019-10-01,851,124.8
index,2019-10-01,852,131.8
index,2019-10-01,853,111.3
index,2019-10-01,854,110.9
index,2019-10-01,861,105.1
index,2019-10-01,862,107.5
index,2019-10-01,869,106.0
index,2019-10-01,920,100.0
index,2019-10-01,931,105.5
index,2019-10-01,932,106.8
index,2020-01-01,492,107.5
index,2020-01-01,501,100.8
index,2020-01-01,511,99.4
index,2020-01-01,512,114.5
index,2020-01-01,522,103.5
index,2020-01-01,531,121.0
index,2020-01-01,532,111.2
index,2020-01-01,551,102.9
index,2020-01-01,561,141.2
index,2020-01-01,562,121.3
index,2020-01-01,563,136.2
index,2020-01-01,611,99.0
index,2020-01-01,612,101.1
index,2020-01-01,620,103.3
index,2020-01-01,631,101.0
index,2020-01-01,682,124.8
index,2020-01-01,691,104.1
index,2020-01-01,692,106.7
index,2020-01-01,711,102.5
index,2020-01-01,851,125.0
index,2020-01-01,852,134.9
index,2020-01-01,853,111.3
index,2020-01-01,854,110.9
index,2020-01-01,861,105.3
index,2020-01-01,862,107.6
index,2020-01-01,869,106.1
index,2020-01-01,920,100.0
index,2020-01-01,931,105.5
index,2020-01-01,932,107.0
index,2020-04-01,492,107.5
index,2020-04-01,501,100.8
index,2020-04-01,511,100.4
index,2020-04-01,512,118.4
index,2020-04-01,522,103.6
index,2020-04-01,531,124.8
index,2020-04-01,532,112.8
index,2020-04-01,551,102.7
index,2020-04-01,561,141.6
index,2020-04-01,562,121.4
index,2020-04-01,563,136.4
index,2020-04-01,611,99.0
index,2020-04-01,612,101.0
index,2020-04-01,620,103.4
index,2020-04-01,631,101.0
index,2020-04-01,682,125.0
index,2020-04-01,691,104.1
index,2020-04-01,692,106.7
index,2020-04-01,711,102.4
index,2020-04-01,851,125.0
index,2020-04-01,852,134.9
index,2020-04-01,853,111.7
index,2020-04-01,854,110.9
index,2020-04-01,861,106.7
index,2020-04-01,862,108.5
index,2020-04-01,869,106.4
index,2020-04-01,920,99.9
index,2020-04-01,931,105.7
index,2020-04-01,932,106.8
index,2020-07-01,492,107.7
index,2020-07-01,501,100.8
index,2020-07-01,511,104.5
index,2020-07-01,512,118.6
index,2020-07-01,522,103.6
index,2020-07-01,531,124.8
index,2020-07-01,532,113.9
index,2020-07-01,551,102.7
index,2020-07-01,561,142.6
index,2020-07-01,562,121.4
index,2020-07-01,563,136.7
index,2020-07-01,611,99.0
index,2020-07-01,612,100.9
index,2020-07-01,620,103.4
index,2020-07-01,631,101.0
index,2020-07-01,682,126.3
index,2020-07-01,691,104.1
index,2020-07-01,692,106.7
index,2020-07-01,711,102.4
index,2020-07-01,851,125.0
index,2020-07-01,852,136.3
index,2020-07-01,853,111.8
index,2020-07-01,854,110.9
index,2020-07-01,861,106.7
index,2020-07-01,862,108.8
index,2020-07-01,869,105.8
index,2020-07-01,920,98.5
index,2020-07-01,931,105.8
index,2020-07-01,932,106.7
index,2020-10-01,492,107.7
index,2020-10-01,501,100.8
index,2020-10-01,511,100.5
index,2020-10-01,512,118.6
index,2020-10-01,522,103.6
index,2020-10-01,531,124.8
index,2020-10-01,532,114.2
index,2020-10-01,551,102.7
index,2020-10-01,561,143.2
index,2020-10-01,562,121.3
index,2020-10-01,563,137.0
index,2020-10-01,611,99.0
index,2020-10-01,612,100.9
index,2020-10-01,620,103.4
index,2020-10-01,631,101.0
index,2020-10-01,682,126.1
index,2020-10-01,691,104.1
index,2020-10-01,692,106.7
index,2020-10-01,711,102.4
index,2020-10-01,851,125.0
index,2020-10-01,852,136.3
index,2020-10-01,853,111.7
index,2020-10-01,854,110.9
index,2020-10-01,861,106.7
index,2020-10-01,862,108.8
index,2020-10-01,869,105.7
index,2020-10-01,920,97.3
index,2020-10-01,931,105.9
index,2020-10-01,932,106.5
index,2021-01-01,492,108.8
index,2021-01-01,501,101.8
index,2021-01-01,511,96.8
index,2021-01-01,512,118.6
index,2021-01-01,522,103.5
index,2021-01-01,531,124.8
index,2021-01-01,532,114.5
index,2021-01-01,551,103.1
index,2021-01-01,561,143.7
index,2021-01-01,562,121.4
index,2021-01-01,563,137.2
index,2021-01-01,611,99.0
index,2021-01-01,612,101.0
index,2021-01-01,620,103.4
index,2021-01-01,631,101.0
index,2021-01-01,682,126.6
index,2021-01-01,691,104.1
index,2021-01-01,692,106.7
index,2021-01-01,711,102.5
index,2021-01-01,851,126.9
index,2021-01-01,852,137.0
index,2021-01-01,853,111.9
index,2021-01-01,854,111.6
index,2021-01-01,861,106.9
index,2021-01-01,862,108.9
