series,state,district,date,sector,value
abs,Johor,Segamat,2019-01-01,p4,70.8046
abs,Johor,Segamat,2019-01-01,p5,2757.3221
abs,Johor,Segamat,2020-01-01,p0,4922.139
abs,Johor,Segamat,2020-01-01,p1,1587.79
abs,Johor,Segamat,2020-01-01,p2,12.786
abs,Johor,Segamat,2020-01-01,p3,564.2925
abs,Johor,Segamat,2020-01-01,p4,76.6827
abs,Johor,Segamat,2020-01-01,p5,2648.9938
abs,Johor,Tangkak,2015-01-01,p0,4255.3672
abs,Johor,Tangkak,2015-01-01,p1,1426.3259
abs,Johor,Tangkak,2015-01-01,p2,
abs,Johor,Tangkak,2015-01-01,p3,1277.2414
abs,Johor,Tangkak,2015-01-01,p4,17.2531
abs,Johor,Tangkak,2015-01-01,p5,1488.3989
abs,Johor,Tangkak,2016-01-01,p0,4428.8349
abs,Johor,Tangkak,2016-01-01,p1,1433.5538
abs,Johor,Tangkak,2016-01-01,p2,
abs,Johor,Tangkak,2016-01-01,p3,1382.6359
abs,Johor,Tangkak,2016-01-01,p4,8.6196
abs,Johor,Tangkak,2016-01-01,p5,1539.4765
abs,Johor,Tangkak,2017-01-01,p0,4778.8056
abs,Johor,Tangkak,2017-01-01,p1,1544.4661
abs,Johor,Tangkak,2017-01-01,p2,
abs,Johor,Tangkak,2017-01-01,p3,1530.7912
abs,Johor,Tangkak,2017-01-01,p4,7.8032
abs,Johor,Tangkak,2017-01-01,p5,1624.6072
abs,Johor,Tangkak,2018-01-01,p0,4868.0383
abs,Johor,Tangkak,2018-01-01,p1,1507.784
abs,Johor,Tangkak,2018-01-01,p2,
abs,Johor,Tangkak,2018-01-01,p3,1581.8874
abs,Johor,Tangkak,2018-01-01,p4,11.0592
abs,Johor,Tangkak,2018-01-01,p5,1704.8207
abs,Johor,Tangkak,2019-01-01,p0,5123.8598
abs,Johor,Tangkak,2019-01-01,p1,1618.9888
abs,Johor,Tangkak,2019-01-01,p2,
abs,Johor,Tangkak,2019-01-01,p3,1626.7374
abs,Johor,Tangkak,2019-01-01,p4,12.8169
abs,Johor,Tangkak,2019-01-01,p5,1804.8633
abs,Johor,Tangkak,2020-01-01,p0,5170.3524
abs,Johor,Tangkak,2020-01-01,p1,1649.0403
abs,Johor,Tangkak,2020-01-01,p2,
abs,Johor,Tangkak,2020-01-01,p3,1680.7065
abs,Johor,Tangkak,2020-01-01,p4,12.0068
abs,Johor,Tangkak,2020-01-01,p5,1776.4319
abs,Kedah,Baling,2015-01-01,p0,1395.3451
abs,Kedah,Baling,2015-01-01,p1,434.7939
abs,Kedah,Baling,2015-01-01,p2,18.727
abs,Kedah,Baling,2015-01-01,p3,194.1093
abs,Kedah,Baling,2015-01-01,p4,22.0929
abs,Kedah,Baling,2015-01-01,p5,719.3754
abs,Kedah,Baling,2016-01-01,p0,1375.5588
abs,Kedah,Baling,2016-01-01,p1,385.0622
abs,Kedah,Baling,2016-01-01,p2,21.771
abs,Kedah,Baling,2016-01-01,p3,201.6382
abs,Kedah,Baling,2016-01-01,p4,9.3312
abs,Kedah,Baling,2016-01-01,p5,750.811
abs,Kedah,Baling,2017-01-01,p0,1453.2951
abs,Kedah,Baling,2017-01-01,p1,419.2667
abs,Kedah,Baling,2017-01-01,p2,26.2598
abs,Kedah,Baling,2017-01-01,p3,202.2234
abs,Kedah,Baling,2017-01-01,p4,9.3243
abs,Kedah,Baling,2017-01-01,p5,789.4481
abs,Kedah,Baling,2018-01-01,p0,1470.587
abs,Kedah,Baling,2018-01-01,p1,401.5824
abs,Kedah,Baling,2018-01-01,p2,27.0598
abs,Kedah,Baling,2018-01-01,p3,200.1007
abs,Kedah,Baling,2018-01-01,p4,10.756
abs,Kedah,Baling,2018-01-01,p5,824.9554
abs,Kedah,Baling,2019-01-01,p0,1539.4039
abs,Kedah,Baling,2019-01-01,p1,413.8132
abs,Kedah,Baling,2019-01-01,p2,29.19
abs,Kedah,Baling,2019-01-01,p3,218.7585
abs,Kedah,Baling,2019-01-01,p4,9.3558
abs,Kedah,Baling,2019-01-01,p5,863.2999
abs,Kedah,Baling,2020-01-01,p0,1525.7974
abs,Kedah,Baling,2020-01-01,p1,396.3094
abs,Kedah,Baling,2020-01-01,p2,23.8608
abs,Kedah,Baling,2020-01-01,p3,228.838
abs,Kedah,Baling,2020-01-01,p4,8.6473
abs,Kedah,Baling,2020-01-01,p5,862.7873
abs,Kedah,Bandar Baharu,2015-01-01,p0,600.4789
abs,Kedah,Bandar Baharu,2015-01-01,p1,265.7816
abs,Kedah,Bandar Baharu,2015-01-01,p2,0.0
abs,Kedah,Bandar Baharu,2015-01-01,p3,35.6816
abs,Kedah,Bandar Baharu,2015-01-01,p4,10.372
abs,Kedah,Bandar Baharu,2015-01-01,p5,286.8733
abs,Kedah,Bandar Baharu,2016-01-01,p0,583.8934
abs,Kedah,Bandar Baharu,2016-01-01,p1,241.6487
abs,Kedah,Bandar Baharu,2016-01-01,p2,0.0
abs,Kedah,Bandar Baharu,2016-01-01,p3,30.9099
abs,Kedah,Bandar Baharu,2016-01-01,p4,10.9535
abs,Kedah,Bandar Baharu,2016-01-01,p5,298.4718
abs,Kedah,Bandar Baharu,2017-01-01,p0,622.5999
abs,Kedah,Bandar Baharu,2017-01-01,p1,269.5717
abs,Kedah,Bandar Baharu,2017-01-01,p2,0.0
abs,Kedah,Bandar Baharu,2017-01-01,p3,34.6245
abs,Kedah,Bandar Baharu,2017-01-01,p4,7.926
abs,Kedah,Bandar Baharu,2017-01-01,p5,308.6165
abs,Kedah,Bandar Baharu,2018-01-01,p0,628.5226
abs,Kedah,Bandar Baharu,2018-01-01,p1,269.2363
abs,Kedah,Bandar Baharu,2018-01-01,p2,0.0
abs,Kedah,Bandar Baharu,2018-01-01,p3,33.6059
abs,Kedah,Bandar Baharu,2018-01-01,p4,
abs,Kedah,Bandar Baharu,2018-01-01,p5,319.2695
abs,Kedah,Bandar Baharu,2019-01-01,p0,636.8336
abs,Kedah,Bandar Baharu,2019-01-01,p1,271.2395
abs,Kedah,Bandar Baharu,2019-01-01,p2,0.0
abs,Kedah,Bandar Baharu,2019-01-01,p3,31.8817
abs,Kedah,Bandar Baharu,2019-01-01,p4,
abs,Kedah,Bandar Baharu,2019-01-01,p5,328.668
abs,Kedah,Bandar Baharu,2020-01-01,p0,625.6151
abs,Kedah,Bandar Baharu,2020-01-01,p1,271.9672
abs,Kedah,Bandar Baharu,2020-01-01,p2,0.0
abs,Kedah,Bandar Baharu,2020-01-01,p3,30.4871
abs,Kedah,Bandar Baharu,2020-01-01,p4,
abs,Kedah,Bandar Baharu,2020-01-01,p5,317.8431
abs,Kedah,Kota Setar,2015-01-01,p0,8983.2773
abs,Kedah,Kota Setar,2015-01-01,p1,764.5571
abs,Kedah,Kota Setar,2015-01-01,p2,
abs,Kedah,Kota Setar,2015-01-01,p3,1091.1471
abs,Kedah,Kota Setar,2015-01-01,p4,330.9197
abs,Kedah,Kota Setar,2015-01-01,p5,6743.2286
abs,Kedah,Kota Setar,2016-01-01,p0,9609.326
abs,Kedah,Kota Setar,2016-01-01,p1,814.2263
abs,Kedah,Kota Setar,2016-01-01,p2,
abs,Kedah,Kota Setar,2016-01-01,p3,1141.6884
abs,Kedah,Kota Setar,2016-01-01,p4,429.5926
abs,Kedah,Kota Setar,2016-01-01,p5,7162.52
abs,Kedah,Kota Setar,2017-01-01,p0,10047.096
abs,Kedah,Kota Setar,2017-01-01,p1,840.4592
abs,Kedah,Kota Setar,2017-01-01,p2,
abs,Kedah,Kota Setar,2017-01-01,p3,1252.008
abs,Kedah,Kota Setar,2017-01-01,p4,331.437
abs,Kedah,Kota Setar,2017-01-01,p5,7563.2195
abs,Kedah,Kota Setar,2018-01-01,p0,10716.4553
abs,Kedah,Kota Setar,2018-01-01,p1,825.1071
abs,Kedah,Kota Setar,2018-01-01,p2,
abs,Kedah,Kota Setar,2018-01-01,p3,1387.2371
abs,Kedah,Kota Setar,2018-01-01,p4,415.8889
abs,Kedah,Kota Setar,2018-01-01,p5,8030.7038
abs,Kedah,Kota Setar,2019-01-01,p0,11182.6356
abs,Kedah,Kota Setar,2019-01-01,p1,850.8703
abs,Kedah,Kota Setar,2019-01-01,p2,
abs,Kedah,Kota Setar,2019-01-01,p3,1390.5273
abs,Kedah,Kota Setar,2019-01-01,p4,433.073
abs,Kedah,Kota Setar,2019-01-01,p5,8462.6838
abs,Kedah,Kota Setar,2020-01-01,p0,11000.6288
abs,Kedah,Kota Setar,2020-01-01,p1,834.269
abs,Kedah,Kota Setar,2020-01-01,p2,
abs,Kedah,Kota Setar,2020-01-01,p3,1431.2894
abs,Kedah,Kota Setar,2020-01-01,p4,425.5866
abs,Kedah,Kota Setar,2020-01-01,p5,8260.2438
abs,Kedah,Kuala Muda,2015-01-01,p0,9733.5641
abs,Kedah,Kuala Muda,2015-01-01,p1,896.3287
abs,Kedah,Kuala Muda,2015-01-01,p2,12.5054
