series,date,sector,value
abs,2020-01-01,p3.6.4,63889.2
abs,2020-01-01,p3.6.5,5306.692
abs,2020-01-01,p3.7,34039.839
abs,2020-01-01,p3.7.1,24934.861
abs,2020-01-01,p3.7.2,4784.853
abs,2020-01-01,p3.7.3,4320.125
abs,2020-01-01,p4,53616.193
abs,2020-01-01,p4.1,24764.566
abs,2020-01-01,p4.1.1,12819.153
abs,2020-01-01,p4.1.2,11945.413
abs,2020-01-01,p4.2,17836.348
abs,2020-01-01,p4.3,11015.279
abs,2020-01-01,p5,777692.911
abs,2020-01-01,p5.1,169231.03100000002
abs,2020-01-01,p5.1.1,29609.76
abs,2020-01-01,p5.1.2,8340.507
abs,2020-01-01,p5.1.3,42077.873
abs,2020-01-01,p5.1.3.1,9829.963
abs,2020-01-01,p5.1.3.2,6006.288
abs,2020-01-01,p5.1.3.3,2112.647
abs,2020-01-01,p5.1.3.4,7082.197
abs,2020-01-01,p5.1.3.5,7189.888
abs,2020-01-01,p5.1.3.6,7047.975
abs,2020-01-01,p5.1.3.7,2808.915
abs,2020-01-01,p5.1.4,89202.891
abs,2020-01-01,p5.1.4.1,7221.7
abs,2020-01-01,p5.1.4.2,62387.383
abs,2020-01-01,p5.1.4.3,19593.809
