date,rate_type,USD,EUR,JPY,GBP,SGD,AUD,CAD
2003-10-23,selling,3.83,,0.0354,6.5104,2.2222,,
2003-10-27,buying,3.77,,0.03448,6.3939,2.1598,,
2003-10-27,selling,3.83,,0.035396,6.5104,2.2139,,
2003-10-28,buying,3.77,,0.03465,6.3857,2.157,,
2003-10-28,selling,3.83,,0.035626,6.5062,2.2099,,
2003-10-29,buying,3.77,,0.03473,6.398,2.1584,,
2003-10-29,selling,3.83,,0.035692,6.5317,2.209,,
2003-10-30,buying,3.77,,0.03472,6.4061,2.1654,,
2003-10-30,selling,3.83,,0.03563,6.5232,2.2198,,
2003-10-31,buying,3.77,,0.03463,6.3898,2.164,,
2003-10-31,selling,3.83,,0.03563,6.5232,2.2198,,
2003-11-03,buying,3.77,,0.03422,6.398,2.1626,,
2003-11-03,selling,3.83,,0.03515,6.5147,2.2188,,
2003-11-04,buying,3.77,,0.03394,6.3211,2.1547,,
2003-11-04,selling,3.83,,0.034825,6.4391,2.2099,,
2003-11-05,buying,3.77,,0.03424,6.3492,2.1589,,
2003-11-05,selling,3.83,,0.03518,6.4641,2.2139,,
2003-11-06,buying,3.77,,0.03419,6.3171,2.1617,,
2003-11-06,selling,3.83,,0.0351,6.4309,2.2148,,
2003-11-07,buying,3.77,,0.03413,6.2893,2.1603,,
2003-11-07,selling,3.83,,0.03502,6.4267,2.2139,,
2003-11-10,buying,3.77,,0.03428,6.3131,2.1654,,
2003-11-10,selling,3.83,,0.0352,6.4309,2.2168,,
2003-11-11,buying,3.77,,0.03456,6.2893,2.1687,,
2003-11-11,selling,3.83,,0.03545,6.402,2.2222,,
2003-11-12,buying,3.77,,0.03455,6.2775,2.1678,,
2003-11-12,selling,3.83,,0.03546,6.402,2.2222,,
2003-11-13,buying,3.77,,0.03463,6.3211,2.1758,,
2003-11-13,selling,3.83,,0.03553,6.4391,2.2311,,
2003-11-14,buying,3.77,,0.03477,6.3654,2.1844,,
2003-11-14,selling,3.83,,0.03569,6.4851,2.2361,,
2003-11-17,buying,3.77,,0.03472,6.4391,2.192,,
2003-11-17,selling,3.83,,0.03558,6.502,2.2442,,
2003-11-18,buying,3.77,,0.034468,6.3816,2.1844,,
2003-11-18,selling,3.83,,0.035383,6.502,2.2351,,
2003-11-19,buying,3.77,,0.03472,6.4226,2.1997,,
2003-11-19,selling,3.83,,0.03567,6.5488,2.2492,,
2003-11-20,buying,3.77,,0.03448,6.4103,2.1959,,
2003-11-20,selling,3.83,,0.03539,6.5274,2.2512,,
2003-11-21,buying,3.77,,0.03444,6.4185,2.1891,,
2003-11-21,selling,3.83,,0.035301,6.5402,2.2452,,
2003-11-24,buying,3.77,,0.03452,6.435,2.1901,,
2003-11-24,selling,3.83,,0.03543,6.5531,2.2422,,
2003-11-27,buying,3.77,,0.03447,6.4516,2.1887,,
2003-11-27,selling,3.83,,0.03536,6.5703,2.2391,,
2003-11-28,buying,3.77,,0.0344,6.4641,2.1801,,
2003-11-28,selling,3.83,,0.03529,6.5876,2.2331,,
2003-12-01,buying,3.77,,0.03423,6.502,2.182,,
2003-12-01,selling,3.83,,0.03391,6.6269,2.2381,,
2003-12-02,buying,3.77,,0.03438,6.4851,2.1867,,
2003-12-02,selling,3.83,,0.03526,6.6181,2.2401,,
2003-12-03,buying,3.77,,0.03456,6.5274,6.5274,,
2003-12-03,selling,3.83,,0.03547,6.6489,2.2422,,
2003-12-04,buying,3.77,,0.03472,6.5062,2.1935,,
2003-12-04,selling,3.83,,0.03566,6.6313,2.2472,,
2003-12-05,buying,3.77,,0.03471,6.4893,2.2022,,
2003-12-05,selling,3.83,,0.03566,6.6313,2.2472,,
2003-12-08,buying,3.77,,0.03494,6.5232,2.1968,,
2003-12-08,selling,3.83,,0.035818,6.6622,2.2502,,
2003-12-10,buying,3.77,,0.03507,6.5789,2.1997,,
2003-12-10,selling,3.83,,0.03598,6.7069,2.2528,,
2003-12-11,buying,3.77,,0.03506,6.5617,2.1959,,
2003-12-11,selling,3.83,,0.03559,6.689,2.2492,,
2003-12-15,buying,3.77,,0.03479,6.5617,2.1997,,
2003-12-15,selling,3.83,,0.03569,6.6756,2.2502,,
2003-12-16,buying,3.77,,0.03489,6.5876,2.2031,,
2003-12-16,selling,3.83,,0.03582,6.7114,2.2558,,
2003-12-17,buying,3.77,,0.03496,6.6138,2.206,,
2003-12-17,selling,3.83,,0.03587,6.7385,2.2604,,
2003-12-18,buying,3.77,,0.03499,6.6622,2.2036,,
2003-12-18,selling,3.83,,0.03591,6.7797,2.2578,,
2003-12-19,buying,3.77,,0.03492,6.6756,2.2051,,
2003-12-19,selling,3.83,,0.03584,6.8027,2.2599,,
2003-12-22,buying,3.77,,0.03485,6.6578,2.2022,,
2003-12-22,selling,3.83,,0.03575,6.7981,2.2563,,
2003-12-23,buying,3.77,,0.03496,6.6534,2.2031,,
2003-12-23,selling,3.83,,0.035859,6.7751,2.2578,,
2003-12-24,buying,3.77,,0.03505,6.6534,2.2031,,
2003-12-24,selling,3.83,,0.03592,6.7751,2.2584,,
2003-12-26,buying,3.77,,0.03505,6.6979,2.206,,
2003-12-26,selling,3.83,,0.035936,6.8213,2.2609,,
2003-12-29,buying,3.77,,0.03504,6.689,2.207,,
2003-12-29,selling,3.83,,0.03594,6.8074,2.2635,,
2003-12-30,buying,3.77,,0.0351,6.6934,2.2119,,
2003-12-30,selling,3.83,,0.03603,6.8166,2.2655,,
2003-12-31,buying,3.77,,0.0352,6.7114,2.2109,,
2003-12-31,selling,3.83,,0.03603,6.8259,2.2645,,
2004-01-02,buying,3.77,,0.03503,6.734,2.2139,,
2004-01-02,selling,3.83,,0.03595,6.854,2.2701,,
2004-01-05,buying,3.77,,0.03515,6.7751,2.2178,,
2004-01-05,selling,3.83,,0.036044,6.8966,2.2681,,
2004-01-06,buying,3.77,,0.03537,6.8166,2.2163,,
2004-01-06,selling,3.83,,0.03629,6.9396,2.2717,,
2004-01-07,buying,3.77,,0.03538,6.8729,2.2178,,
2004-01-07,selling,3.83,,0.03629,6.993,2.2727,,
2004-01-08,buying,3.77,,0.0354,6.854,2.2188,,
2004-01-08,selling,3.83,,0.03632,6.9686,2.2743,,
2004-01-09,buying,3.77,,0.03538,6.9156,2.2227,,
2004-01-09,selling,3.83,,0.03633,7.0423,2.2769,,
2004-01-12,buying,3.77,,0.03526,6.9686,2.2252,,
2004-01-12,selling,3.83,,0.03633,7.0972,2.28,,
2004-01-13,buying,3.77,,0.03526,6.9589,2.2237,,
2004-01-13,selling,3.83,,0.03617,7.0872,2.28,,
2004-01-15,buying,3.77,,0.03536,6.9156,2.2188,,
2004-01-15,selling,3.83,,0.0363,7.0373,2.2763,,
