series,date,type,value
abs,2019-04-01,e3.2.1,18126.0
abs,2019-04-01,e3.2.2,68292.0
abs,2019-04-01,e4,-3475.0
abs,2019-04-01,e5,224133.0
abs,2019-04-01,e5.1,186832.0
abs,2019-04-01,e5.2,37301.0
abs,2019-04-01,e6,200173.0
abs,2019-04-01,e6.1,161414.0
abs,2019-04-01,e6.2,38759.0
abs,2019-07-01,e0,361117.0
abs,2019-07-01,e1,218309.0
abs,2019-07-01,e1.1.01,49693.0
abs,2019-07-01,e1.1.03,9127.0
abs,2019-07-01,e1.1.04,30675.0
abs,2019-07-01,e1.1.05,11592.0
abs,2019-07-01,e1.1.07,29237.0
abs,2019-07-01,e1.1.08,17916.0
abs,2019-07-01,e1.1.09,14112.0
abs,2019-07-01,e1.1.11,22594.0
abs,2019-07-01,e1.1.12,33364.0
abs,2019-07-01,e2,40413.0
abs,2019-07-01,e3,82219.0
abs,2019-07-01,e3.1,82219.0
abs,2019-07-01,e3.1.1,47884.0
abs,2019-07-01,e3.1.2,27617.0
abs,2019-07-01,e3.1.3,6718.0
abs,2019-07-01,e3.2,82219.0
abs,2019-07-01,e3.2.1,20712.0
abs,2019-07-01,e3.2.2,61507.0
abs,2019-07-01,e4,-4470.0
abs,2019-07-01,e5,228652.0
abs,2019-07-01,e5.1,189588.0
abs,2019-07-01,e5.2,39064.0
abs,2019-07-01,e6,204005.0
abs,2019-07-01,e6.1,162496.0
abs,2019-07-01,e6.2,41509.0
abs,2019-10-01,e0,370552.0
abs,2019-10-01,e1,214839.0
abs,2019-10-01,e1.1.01,46071.0
abs,2019-10-01,e1.1.03,8446.0
abs,2019-10-01,e1.1.04,29506.0
abs,2019-10-01,e1.1.05,10989.0
abs,2019-10-01,e1.1.07,28727.0
abs,2019-10-01,e1.1.08,17909.0
abs,2019-10-01,e1.1.09,15466.0
abs,2019-10-01,e1.1.11,24607.0
abs,2019-10-01,e1.1.12,33118.0
abs,2019-10-01,e2,54226.0
abs,2019-10-01,e3,80354.0
abs,2019-10-01,e3.1,80353.0
abs,2019-10-01,e3.1.1,46323.0
abs,2019-10-01,e3.1.2,27443.0
abs,2019-10-01,e3.1.3,6587.0
abs,2019-10-01,e3.2,80354.0
abs,2019-10-01,e3.2.1,30220.0
abs,2019-10-01,e3.2.2,50134.0
abs,2019-10-01,e4,-1267.0
abs,2019-10-01,e5,230684.0
abs,2019-10-01,e5.1,193152.0
abs,2019-10-01,e5.2,37531.0
abs,2019-10-01,e6,208283.0
abs,2019-10-01,e6.1,167423.0
abs,2019-10-01,e6.2,40860.0
abs,2020-01-01,e0,344690.0
abs,2020-01-01,e1,213285.0
abs,2020-01-01,e1.1.01,47956.0
abs,2020-01-01,e1.1.03,7058.0
abs,2020-01-01,e1.1.04,31617.0
abs,2020-01-01,e1.1.05,11077.0
abs,2020-01-01,e1.1.07,25777.0
abs,2020-01-01,e1.1.08,19574.0
abs,2020-01-01,e1.1.09,12468.0
abs,2020-01-01,e1.1.11,22349.0
abs,2020-01-01,e1.1.12,35408.0
abs,2020-01-01,e2,40624.0
abs,2020-01-01,e3,76020.0
abs,2020-01-01,e3.1,76019.0
abs,2020-01-01,e3.1.1,44871.0
abs,2020-01-01,e3.1.2,25175.0
abs,2020-01-01,e3.1.3,5973.0
abs,2020-01-01,e3.2,76019.0
abs,2020-01-01,e3.2.1,17556.0
abs,2020-01-01,e3.2.2,58463.0
abs,2020-01-01,e4,-3317.0
abs,2020-01-01,e5,208782.0
abs,2020-01-01,e5.1,179462.0
abs,2020-01-01,e5.2,29320.0
abs,2020-01-01,e6,190703.0
abs,2020-01-01,e6.1,155495.0
abs,2020-01-01,e6.2,35208.0
abs,2020-04-01,e0,290686.0
abs,2020-04-01,e1,166551.0
abs,2020-04-01,e1.1.01,45915.0
abs,2020-04-01,e1.1.03,4463.0
abs,2020-04-01,e1.1.04,30953.0
abs,2020-04-01,e1.1.05,7905.0
abs,2020-04-01,e1.1.07,10821.0
abs,2020-04-01,e1.1.08,19096.0
abs,2020-04-01,e1.1.09,2445.0
abs,2020-04-01,e1.1.11,12948.0
abs,2020-04-01,e1.1.12,32006.0
abs,2020-04-01,e2,39709.0
abs,2020-04-01,e3,61358.0
abs,2020-04-01,e3.1,61358.0
abs,2020-04-01,e3.1.1,30278.0
abs,2020-04-01,e3.1.2,24681.0
abs,2020-04-01,e3.1.3,6399.0
abs,2020-04-01,e3.2,61358.0
abs,2020-04-01,e3.2.1,10869.0
abs,2020-04-01,e3.2.2,50489.0
abs,2020-04-01,e4,10222.0
abs,2020-04-01,e5,175905.0
abs,2020-04-01,e5.1,159711.0
abs,2020-04-01,e5.2,16194.0
abs,2020-04-01,e6,163061.0
abs,2020-04-01,e6.1,137181.0
abs,2020-04-01,e6.2,25880.0
abs,2020-07-01,e0,352137.0
abs,2020-07-01,e1,214653.0
abs,2020-07-01,e1.1.01,52697.0
abs,2020-07-01,e1.1.03,8154.0
abs,2020-07-01,e1.1.04,32613.0
abs,2020-07-01,e1.1.05,10452.0
abs,2020-07-01,e1.1.07,28599.0
abs,2020-07-01,e1.1.08,19107.0
abs,2020-07-01,e1.1.09,6423.0
abs,2020-07-01,e1.1.11,15206.0
abs,2020-07-01,e1.1.12,41401.0
abs,2020-07-01,e2,43587.0
abs,2020-07-01,e3,72873.0
abs,2020-07-01,e3.1,72873.0
abs,2020-07-01,e3.1.1,41871.0
abs,2020-07-01,e3.1.2,25340.0
abs,2020-07-01,e3.1.3,5662.0
abs,2020-07-01,e3.2,72873.0
abs,2020-07-01,e3.2.1,18030.0
abs,2020-07-01,e3.2.2,54843.0
abs,2020-07-01,e4,-10012.0
abs,2020-07-01,e5,219086.0
abs,2020-07-01,e5.1,202459.0
abs,2020-07-01,e5.2,16627.0
abs,2020-07-01,e6,188050.0
abs,2020-07-01,e6.1,159170.0
abs,2020-07-01,e6.2,28881.0
abs,2020-10-01,e0,358736.0
abs,2020-10-01,e1,208258.0
abs,2020-10-01,e1.1.01,48801.0
abs,2020-10-01,e1.1.03,7828.0
abs,2020-10-01,e1.1.04,31442.0
abs,2020-10-01,e1.1.05,9894.0
abs,2020-10-01,e1.1.07,28264.0
abs,2020-10-01,e1.1.08,19745.0
abs,2020-10-01,e1.1.09,7213.0
abs,2020-10-01,e1.1.11,16205.0
abs,2020-10-01,e1.1.12,38866.0
abs,2020-10-01,e2,55801.0
abs,2020-10-01,e3,70924.0
abs,2020-10-01,e3.1,70925.0
abs,2020-10-01,e3.1.1,40237.0
abs,2020-10-01,e3.1.2,24977.0
abs,2020-10-01,e3.1.3,5711.0
abs,2020-10-01,e3.2,70924.0
abs,2020-10-01,e3.2.1,24067.0
abs,2020-10-01,e3.2.2,46857.0
abs,2020-10-01,e4,-1357.0
abs,2020-10-01,e5,226383.0
abs,2020-10-01,e5.1,209467.0
abs,2020-10-01,e5.2,16916.0
abs,2020-10-01,e6,201273.0
abs,2020-10-01,e6.1,171979.0
abs,2020-10-01,e6.2,29294.0
abs,2021-01-01,e0,343912.379
abs,2021-01-01,e1,209680.631
abs,2021-01-01,e1.1.01,50976.674
abs,2021-01-01,e1.1.03,7096.036
abs,2021-01-01,e1.1.04,33272.65
abs,2021-01-01,e1.1.05,10610.488
abs,2021-01-01,e1.1.07,25155.174
abs,2021-01-01,e1.1.08,21046.306
abs,2021-01-01,e1.1.09,6318.277
abs,2021-01-01,e1.1.11,16163.945
abs,2021-01-01,e1.1.12,39041.081
abs,2021-01-01,e2,43154.554
abs,2021-01-01,e3,73678.574
abs,2021-01-01,e3.1,73678.575
abs,2021-01-01,e3.1.1,40320.079
abs,2021-01-01,e3.1.2,27799.175
abs,2021-01-01,e3.1.3,5559.321
abs,2021-01-01,e3.2,73678.574
abs,2021-01-01,e3.2.1,14363.614
abs,2021-01-01,e3.2.2,59314.96
abs,2021-01-01,e4,-1975.944
abs,2021-01-01,e5,233326.08
abs,2021-01-01,e5.1,216301.959
abs,2021-01-01,e5.2,17024.122
abs,2021-01-01,e6,213951.516
abs,2021-01-01,e6.1,184268.531
abs,2021-01-01,e6.2,29682.986
abs,2021-04-01,e0,338160.18
abs,2021-04-01,e1,185891.59
abs,2021-04-01,e1.1.01,48679.822
abs,2021-04-01,e1.1.03,5780.04
