date,state,age_group,addicts
2020-01-01,Selangor,20-24,332
2021-01-01,Selangor,20-24,306
2022-01-01,Selangor,20-24,324
2023-01-01,Selangor,20-24,255
2019-01-01,Terengganu,20-24,322
2020-01-01,Terengganu,20-24,274
2021-01-01,Terengganu,20-24,272
2022-01-01,Terengganu,20-24,226
2023-01-01,Terengganu,20-24,207
2019-01-01,W.P. Kuala Lumpur,20-24,185
2020-01-01,W.P. Kuala Lumpur,20-24,181
2021-01-01,W.P. Kuala Lumpur,20-24,131
2022-01-01,W.P. Kuala Lumpur,20-24,129
2023-01-01,W.P. Kuala Lumpur,20-24,120
2019-01-01,W.P. Labuan,20-24,31
2020-01-01,W.P. Labuan,20-24,17
2021-01-01,W.P. Labuan,20-24,3
2019-01-01,W.P. Putrajaya,20-24,12
2020-01-01,W.P. Putrajaya,20-24,11
2021-01-01,W.P. Putrajaya,20-24,18
2022-01-01,W.P. Putrajaya,20-24,7
2023-01-01,W.P. Putrajaya,20-24,8
2015-01-01,Malaysia,25-29,4977
2016-01-01,Malaysia,25-29,5719
2017-01-01,Malaysia,25-29,4735
2018-01-01,Malaysia,25-29,4621
2019-01-01,Malaysia,25-29,4895
2020-01-01,Malaysia,25-29,3926
2021-01-01,Malaysia,25-29,3594
2022-01-01,Malaysia,25-29,4230
2023-01-01,Malaysia,25-29,4256
2019-01-01,Johor,25-29,481
2020-01-01,Johor,25-29,482
2021-01-01,Johor,25-29,414
2022-01-01,Johor,25-29,463
2023-01-01,Johor,25-29,446
2019-01-01,Kedah,25-29,675
2020-01-01,Kedah,25-29,544
2021-01-01,Kedah,25-29,456
2022-01-01,Kedah,25-29,573
2023-01-01,Kedah,25-29,579
2019-01-01,Kelantan,25-29,603
2020-01-01,Kelantan,25-29,465
2021-01-01,Kelantan,25-29,431
2022-01-01,Kelantan,25-29,434
2023-01-01,Kelantan,25-29,467
2019-01-01,Melaka,25-29,144
2020-01-01,Melaka,25-29,158
2021-01-01,Melaka,25-29,102
2022-01-01,Melaka,25-29,102
2023-01-01,Melaka,25-29,87
2019-01-01,Negeri Sembilan,25-29,243
2020-01-01,Negeri Sembilan,25-29,152
2021-01-01,Negeri Sembilan,25-29,139
2022-01-01,Negeri Sembilan,25-29,147
2023-01-01,Negeri Sembilan,25-29,161
2019-01-01,Pahang,25-29,294
2020-01-01,Pahang,25-29,272
2021-01-01,Pahang,25-29,181
2022-01-01,Pahang,25-29,248
2023-01-01,Pahang,25-29,329
2019-01-01,Perak,25-29,381
2020-01-01,Perak,25-29,321
2021-01-01,Perak,25-29,290
2022-01-01,Perak,25-29,383
2023-01-01,Perak,25-29,310
2019-01-01,Perlis,25-29,73
2020-01-01,Perlis,25-29,51
2021-01-01,Perlis,25-29,56
2022-01-01,Perlis,25-29,107
2023-01-01,Perlis,25-29,115
2019-01-01,Pulau Pinang,25-29,445
2020-01-01,Pulau Pinang,25-29,246
2021-01-01,Pulau Pinang,25-29,255
2022-01-01,Pulau Pinang,25-29,386
2023-01-01,Pulau Pinang,25-29,315
2019-01-01,Sabah,25-29,311
2020-01-01,Sabah,25-29,178
2021-01-01,Sabah,25-29,133
2022-01-01,Sabah,25-29,140
2023-01-01,Sabah,25-29,122
2019-01-01,Sarawak,25-29,214
2020-01-01,Sarawak,25-29,144
2021-01-01,Sarawak,25-29,154
2022-01-01,Sarawak,25-29,296
2023-01-01,Sarawak,25-29,347
2019-01-01,Selangor,25-29,432
2020-01-01,Selangor,25-29,327
2021-01-01,Selangor,25-29,414
2022-01-01,Selangor,25-29,432
2023-01-01,Selangor,25-29,430
2019-01-01,Terengganu,25-29,423
2020-01-01,Terengganu,25-29,403
2021-01-01,Terengganu,25-29,389
2022-01-01,Terengganu,25-29,343
2023-01-01,Terengganu,25-29,347
2019-01-01,W.P. Kuala Lumpur,25-29,138
2020-01-01,W.P. Kuala Lumpur,25-29,159
2021-01-01,W.P. Kuala Lumpur,25-29,164
2022-01-01,W.P. Kuala Lumpur,25-29,144
2023-01-01,W.P. Kuala Lumpur,25-29,184
2019-01-01,W.P. Labuan,25-29,26
2020-01-01,W.P. Labuan,25-29,20
2021-01-01,W.P. Labuan,25-29,7
2019-01-01,W.P. Putrajaya,25-29,12
2020-01-01,W.P. Putrajaya,25-29,4
2021-01-01,W.P. Putrajaya,25-29,9
2022-01-01,W.P. Putrajaya,25-29,12
2023-01-01,W.P. Putrajaya,25-29,7
2015-01-01,Malaysia,30-34,4936
2016-01-01,Malaysia,30-34,5849
2017-01-01,Malaysia,30-34,4820
2018-01-01,Malaysia,30-34,4871
2019-01-01,Malaysia,30-34,4710
2020-01-01,Malaysia,30-34,3728
2021-01-01,Malaysia,30-34,3274
2022-01-01,Malaysia,30-34,4074
2023-01-01,Malaysia,30-34,4408
2019-01-01,Johor,30-34,419
2020-01-01,Johor,30-34,460
2021-01-01,Johor,30-34,395
2022-01-01,Johor,30-34,499
2023-01-01,Johor,30-34,484
2019-01-01,Kedah,30-34,680
2020-01-01,Kedah,30-34,455
2021-01-01,Kedah,30-34,400
2022-01-01,Kedah,30-34,492
2023-01-01,Kedah,30-34,566
2019-01-01,Kelantan,30-34,583
2020-01-01,Kelantan,30-34,403
2021-01-01,Kelantan,30-34,401
2022-01-01,Kelantan,30-34,405
2023-01-01,Kelantan,30-34,520
2019-01-01,Melaka,30-34,160
2020-01-01,Melaka,30-34,130
2021-01-01,Melaka,30-34,92
2022-01-01,Melaka,30-34,86
2023-01-01,Melaka,30-34,86
2019-01-01,Negeri Sembilan,30-34,216
2020-01-01,Negeri Sembilan,30-34,133
2021-01-01,Negeri Sembilan,30-34,129
2022-01-01,Negeri Sembilan,30-34,167
2023-01-01,Negeri Sembilan,30-34,158
2019-01-01,Pahang,30-34,316
2020-01-01,Pahang,30-34,263
2021-01-01,Pahang,30-34,169
2022-01-01,Pahang,30-34,240
2023-01-01,Pahang,30-34,335
2019-01-01,Perak,30-34,347
2020-01-01,Perak,30-34,360
2021-01-01,Perak,30-34,264
2022-01-01,Perak,30-34,393
2023-01-01,Perak,30-34,399
2019-01-01,Perlis,30-34,54
2020-01-01,Perlis,30-34,63
2021-01-01,Perlis,30-34,42
2022-01-01,Perlis,30-34,73
2023-01-01,Perlis,30-34,81
2019-01-01,Pulau Pinang,30-34,430
2020-01-01,Pulau Pinang,30-34,277
2021-01-01,Pulau Pinang,30-34,222
2022-01-01,Pulau Pinang,30-34,327
2023-01-01,Pulau Pinang,30-34,322
2019-01-01,Sabah,30-34,328
2020-01-01,Sabah,30-34,148
2021-01-01,Sabah,30-34,130
2022-01-01,Sabah,30-34,126
2023-01-01,Sabah,30-34,100
2019-01-01,Sarawak,30-34,180
2020-01-01,Sarawak,30-34,123
2021-01-01,Sarawak,30-34,137
2022-01-01,Sarawak,30-34,245
2023-01-01,Sarawak,30-34,325
2019-01-01,Selangor,30-34,401
2020-01-01,Selangor,30-34,321
2021-01-01,Selangor,30-34,341
2022-01-01,Selangor,30-34,426
2023-01-01,Selangor,30-34,434
2019-01-01,Terengganu,30-34,404
2020-01-01,Terengganu,30-34,432
2021-01-01,Terengganu,30-34,378
2022-01-01,Terengganu,30-34,414
2023-01-01,Terengganu,30-34,414
2019-01-01,W.P. Kuala Lumpur,30-34,154
2020-01-01,W.P. Kuala Lumpur,30-34,142
2021-01-01,W.P. Kuala Lumpur,30-34,151
2022-01-01,W.P. Kuala Lumpur,30-34,164
2023-01-01,W.P. Kuala Lumpur,30-34,172
2019-01-01,W.P. Labuan,30-34,31
2020-01-01,W.P. Labuan,30-34,11
2021-01-01,W.P. Labuan,30-34,6
2019-01-01,W.P. Putrajaya,30-34,7
2020-01-01,W.P. Putrajaya,30-34,7
2021-01-01,W.P. Putrajaya,30-34,17
2022-01-01,W.P. Putrajaya,30-34,5
2023-01-01,W.P. Putrajaya,30-34,6
2015-01-01,Malaysia,35-39,3976
2016-01-01,Malaysia,35-39,4715
2017-01-01,Malaysia,35-39,3884
2018-01-01,Malaysia,35-39,3905
2019-01-01,Malaysia,35-39,4368
2020-01-01,Malaysia,35-39,3546
2021-01-01,Malaysia,35-39,3177
2022-01-01,Malaysia,35-39,4279
2023-01-01,Malaysia,35-39,4365
2019-01-01,Johor,35-39,388
2020-01-01,Johor,35-39,484
2021-01-01,Johor,35-39,379
2022-01-01,Johor,35-39,521
2023-01-01,Johor,35-39,601
2019-01-01,Kedah,35-39,618
2020-01-01,Kedah,35-39,370
2021-01-01,Kedah,35-39,373
2022-01-01,Kedah,35-39,478
2023-01-01,Kedah,35-39,435
2019-01-01,Kelantan,35-39,512
2020-01-01,Kelantan,35-39,428
2021-01-01,Kelantan,35-39,356
2022-01-01,Kelantan,35-39,436
2023-01-01,Kelantan,35-39,465
2019-01-01,Melaka,35-39,140
2020-01-01,Melaka,35-39,138
2021-01-01,Melaka,35-39,89
2022-01-01,Melaka,35-39,108
2023-01-01,Melaka,35-39,75
2019-01-01,Negeri Sembilan,35-39,174
2020-01-01,Negeri Sembilan,35-39,150
2021-01-01,Negeri Sembilan,35-39,115
2022-01-01,Negeri Sembilan,35-39,178
2023-01-01,Negeri Sembilan,35-39,157
2019-01-01,Pahang,35-39,308
2020-01-01,Pahang,35-39,265
2021-01-01,Pahang,35-39,196
2022-01-01,Pahang,35-39,274
2023-01-01,Pahang,35-39,377
2019-01-01,Perak,35-39,333
2020-01-01,Perak,35-39,314
2021-01-01,Perak,35-39,297
2022-01-01,Perak,35-39,402
2023-01-01,Perak,35-39,398
2019-01-01,Perlis,35-39,48
2020-01-01,Perlis,35-39,37
2021-01-01,Perlis,35-39,38
2022-01-01,Perlis,35-39,84
2023-01-01,Perlis,35-39,76
2019-01-01,Pulau Pinang,35-39,456
2020-01-01,Pulau Pinang,35-39,244
2021-01-01,Pulau Pinang,35-39,171
2022-01-01,Pulau Pinang,35-39,321
2023-01-01,Pulau Pinang,35-39,316
2019-01-01,Sabah,35-39,267
2020-01-01,Sabah,35-39,160
2021-01-01,Sabah,35-39,116
2022-01-01,Sabah,35-39,146
2023-01-01,Sabah,35-39,138
2019-01-01,Sarawak,35-39,116
2020-01-01,Sarawak,35-39,97
2021-01-01,Sarawak,35-39,131
2022-01-01,Sarawak,35-39,200
2023-01-01,Sarawak,35-39,255
2019-01-01,Selangor,35-39,420
2020-01-01,Selangor,35-39,257
2021-01-01,Selangor,35-39,348
2022-01-01,Selangor,35-39,494
2023-01-01,Selangor,35-39,457
2019-01-01,Terengganu,35-39,383
2020-01-01,Terengganu,35-39,424
2021-01-01,Terengganu,35-39,405
2022-01-01,Terengganu,35-39,461
2023-01-01,Terengganu,35-39,426
2019-01-01,W.P. Kuala Lumpur,35-39,178
2020-01-01,W.P. Kuala Lumpur,35-39,156
2021-01-01,W.P. Kuala Lumpur,35-39,134
2022-01-01,W.P. Kuala Lumpur,35-39,143
2023-01-01,W.P. Kuala Lumpur,35-39,172
2019-01-01,W.P. Labuan,35-39,20
2020-01-01,W.P. Labuan,35-39,15
2021-01-01,W.P. Labuan,35-39,18
2019-01-01,W.P. Putrajaya,35-39,7
2020-01-01,W.P. Putrajaya,35-39,7
2021-01-01,W.P. Putrajaya,35-39,11
2022-01-01,W.P. Putrajaya,35-39,16
2023-01-01,W.P. Putrajaya,35-39,4
2015-01-01,Malaysia,40+,6373
2016-01-01,Malaysia,40+,7309
2017-01-01,Malaysia,40+,6405
2018-01-01,Malaysia,40+,6300
2019-01-01,Malaysia,40+,6657
2020-01-01,Malaysia,40+,5231
2021-01-01,Malaysia,40+,4683
2022-01-01,Malaysia,40+,7423
2023-01-01,Malaysia,40+,8052
2019-01-01,Johor,40+,560
2020-01-01,Johor,40+,595
2021-01-01,Johor,40+,502
2022-01-01,Johor,40+,876
2023-01-01,Johor,40+,1024
2019-01-01,Kedah,40+,825
2020-01-01,Kedah,40+,477
