date,time,origin,destination,ridership
2022-06-25,08:00,JB Sentral,Woodlands CIQ,160
2022-06-25,08:00,Woodlands CIQ,JB Sentral,241
2022-06-25,09:00,Woodlands CIQ,JB Sentral,244
2022-06-25,10:00,JB Sentral,Woodlands CIQ,193
2022-06-25,11:00,JB Sentral,Woodlands CIQ,180
2022-06-25,11:00,Woodlands CIQ,JB Sentral,241
2022-06-25,12:00,JB Sentral,Woodlands CIQ,119
2022-06-25,12:00,Woodlands CIQ,JB Sentral,241
2022-06-25,13:00,Woodlands CIQ,JB Sentral,242
2022-06-25,14:00,JB Sentral,Woodlands CIQ,242
2022-06-25,15:00,JB Sentral,Woodlands CIQ,244
2022-06-25,15:00,Woodlands CIQ,JB Sentral,241
2022-06-25,16:00,JB Sentral,Woodlands CIQ,241
2022-06-25,16:00,Woodlands CIQ,JB Sentral,242
2022-06-25,17:00,JB Sentral,Woodlands CIQ,247
2022-06-25,17:00,Woodlands CIQ,JB Sentral,245
2022-06-25,18:00,Woodlands CIQ,JB Sentral,242
2022-06-25,19:00,JB Sentral,Woodlands CIQ,242
2022-06-25,20:00,JB Sentral,Woodlands CIQ,241
2022-06-25,20:00,Woodlands CIQ,JB Sentral,177
2022-06-25,21:00,JB Sentral,Woodlands CIQ,241
2022-06-25,21:00,Woodlands CIQ,JB Sentral,127
2022-06-25,22:00,JB Sentral,Woodlands CIQ,240
2022-06-25,22:00,Woodlands CIQ,JB Sentral,111
2022-06-25,23:00,Woodlands CIQ,JB Sentral,47
2022-06-26,05:00,JB Sentral,Woodlands CIQ,84
2022-06-26,06:00,JB Sentral,Woodlands CIQ,69
2022-06-26,07:00,JB Sentral,Woodlands CIQ,106
2022-06-26,08:00,JB Sentral,Woodlands CIQ,268
2022-06-26,08:00,Woodlands CIQ,JB Sentral,258
2022-06-26,09:00,Woodlands CIQ,JB Sentral,320
2022-06-26,10:00,JB Sentral,Woodlands CIQ,324
2022-06-26,11:00,JB Sentral,Woodlands CIQ,323
2022-06-26,11:00,Woodlands CIQ,JB Sentral,287
2022-06-26,12:00,JB Sentral,Woodlands CIQ,323
2022-06-26,12:00,Woodlands CIQ,JB Sentral,158
2022-06-26,13:00,Woodlands CIQ,JB Sentral,112
2022-06-26,14:00,JB Sentral,Woodlands CIQ,325
2022-06-26,15:00,JB Sentral,Woodlands CIQ,325
2022-06-26,15:00,Woodlands CIQ,JB Sentral,83
2022-06-26,16:00,JB Sentral,Woodlands CIQ,323
2022-06-26,16:00,Woodlands CIQ,JB Sentral,90
2022-06-26,17:00,JB Sentral,Woodlands CIQ,323
2022-06-26,17:00,Woodlands CIQ,JB Sentral,73
2022-06-26,18:00,Woodlands CIQ,JB Sentral,53
2022-06-26,19:00,JB Sentral,Woodlands CIQ,322
2022-06-26,20:00,JB Sentral,Woodlands CIQ,320
2022-06-26,20:00,Woodlands CIQ,JB Sentral,70
2022-06-26,21:00,JB Sentral,Woodlands CIQ,321
2022-06-26,21:00,Woodlands CIQ,JB Sentral,78
2022-06-26,22:00,JB Sentral,Woodlands CIQ,322
2022-06-26,22:00,Woodlands CIQ,JB Sentral,23
2022-06-26,23:00,Woodlands CIQ,JB Sentral,21
2022-06-27,05:00,JB Sentral,Woodlands CIQ,508
2022-06-27,06:00,JB Sentral,Woodlands CIQ,641
2022-06-27,07:00,JB Sentral,Woodlands CIQ,640
2022-06-27,08:00,JB Sentral,Woodlands CIQ,321
2022-06-27,08:00,Woodlands CIQ,JB Sentral,161
2022-06-27,09:00,Woodlands CIQ,JB Sentral,321
2022-06-27,10:00,JB Sentral,Woodlands CIQ,183
2022-06-27,11:00,JB Sentral,Woodlands CIQ,171
2022-06-27,11:00,Woodlands CIQ,JB Sentral,320
2022-06-27,12:00,JB Sentral,Woodlands CIQ,166
2022-06-27,12:00,Woodlands CIQ,JB Sentral,220
2022-06-27,13:00,Woodlands CIQ,JB Sentral,74
2022-06-27,14:00,JB Sentral,Woodlands CIQ,178
2022-06-27,15:00,JB Sentral,Woodlands CIQ,241
2022-06-27,15:00,Woodlands CIQ,JB Sentral,65
