date,sex,ethnicity,abs,rate
2022-01-01,male,bumi_malay,60835.0,6.9
2022-01-01,both,bumi_other,21914.0,6.0
2022-01-01,female,bumi_other,9396.0,5.2
2022-01-01,male,bumi_other,12518.0,6.7
2022-01-01,both,chinese,53333.0,7.8
2022-01-01,female,chinese,22377.0,6.6
2022-01-01,male,chinese,30956.0,8.8
2022-01-01,both,indian,16935.0,8.5
2022-01-01,female,indian,6757.0,6.8
2022-01-01,male,indian,10178.0,10.1
2022-01-01,both,other_citizen,2024.0,9.1
2022-01-01,female,other_citizen,846.0,8.2
2022-01-01,male,other_citizen,1178.0,9.8
2022-01-01,both,other_noncitizen,3692.0,1.5
2022-01-01,female,other_noncitizen,1567.0,2.1
2022-01-01,male,other_noncitizen,2125.0,1.2
2022-01-01,both,overall,206525.0,6.3
2022-01-01,female,overall,88735.0,5.7
2022-01-01,male,overall,117790.0,6.9
2023-01-01,both,bumi_malay,101829.0,5.8
2023-01-01,female,bumi_malay,44605.0,5.1
2023-01-01,male,bumi_malay,57224.0,6.4
2023-01-01,both,bumi_other,21067.0,5.7
2023-01-01,female,bumi_other,9044.0,4.9
2023-01-01,male,bumi_other,12023.0,6.4
2023-01-01,both,chinese,51834.0,7.5
2023-01-01,female,chinese,21879.0,6.5
2023-01-01,male,chinese,29955.0,8.6
2023-01-01,both,indian,16546.0,8.3
2023-01-01,female,indian,6855.0,6.9
2023-01-01,male,indian,9691.0,9.6
2023-01-01,both,other_citizen,,
2023-01-01,female,other_citizen,,
2023-01-01,male,other_citizen,,
2023-01-01,both,other_noncitizen,,
2023-01-01,female,other_noncitizen,,
2023-01-01,male,other_noncitizen,,
2023-01-01,both,overall,196965.0,5.9
2023-01-01,female,overall,84672.0,5.3
2023-01-01,male,overall,112293.0,6.4
2024-01-01,both,bumi_malay,103118.0,5.8
2024-01-01,female,bumi_malay,45248.0,5.1
2024-01-01,male,bumi_malay,57870.0,6.4
2024-01-01,both,bumi_other,21022.0,5.6
2024-01-01,female,bumi_other,8904.0,4.8
2024-01-01,male,bumi_other,12118.0,6.4
2024-01-01,both,chinese,52393.0,7.6
2024-01-01,female,chinese,21687.0,6.4
2024-01-01,male,chinese,30706.0,8.8
2024-01-01,both,indian,16732.0,8.3
2024-01-01,female,indian,6959.0,7.0
2024-01-01,male,indian,9773.0,9.7
2024-01-01,both,other_citizen,,
2024-01-01,female,other_citizen,,
2024-01-01,male,other_citizen,,
2024-01-01,both,other_noncitizen,,
2024-01-01,female,other_noncitizen,,
2024-01-01,male,other_noncitizen,,
2024-01-01,both,overall,198992.0,5.8
2024-01-01,female,overall,85126.0,5.3
2024-01-01,male,overall,113866.0,6.4
