date,state,sex,age,registrations
2021-03-12,Malaysia,male,55-59,3256
2021-03-12,Malaysia,male,60-64,2610
2021-03-12,Malaysia,male,65-69,1797
2021-03-12,Malaysia,male,70-74,1027
2021-03-12,Malaysia,male,75-79,401
2021-03-12,Malaysia,male,80-84,143
2021-03-12,Malaysia,male,85+,41
2021-03-13,Malaysia,female,0-12,52
2021-03-13,Malaysia,female,12-17,1197
2021-03-13,Malaysia,female,18-24,9519
2021-03-13,Malaysia,female,25-29,5978
2021-03-13,Malaysia,female,30-34,5102
2021-03-13,Malaysia,female,35-39,5059
2021-03-13,Malaysia,female,40-44,4399
2021-03-13,Malaysia,female,45-49,4436
2021-03-13,Malaysia,female,50-54,4322
2021-03-13,Malaysia,female,55-59,4194
2021-03-13,Malaysia,female,60-64,3495
2021-03-13,Malaysia,female,65-69,2442
2021-03-13,Malaysia,female,70-74,1250
2021-03-13,Malaysia,female,75-79,492
2021-03-13,Malaysia,female,80-84,199
2021-03-13,Malaysia,female,85+,55
2021-03-13,Malaysia,male,0-12,65
2021-03-13,Malaysia,male,12-17,898
2021-03-13,Malaysia,male,18-24,6461
2021-03-13,Malaysia,male,25-29,5211
2021-03-13,Malaysia,male,30-34,4666
2021-03-13,Malaysia,male,35-39,4392
2021-03-13,Malaysia,male,40-44,3806
2021-03-13,Malaysia,male,45-49,3311
2021-03-13,Malaysia,male,50-54,3302
2021-03-13,Malaysia,male,55-59,3088
2021-03-13,Malaysia,male,60-64,2730
2021-03-13,Malaysia,male,65-69,2239
2021-03-13,Malaysia,male,70-74,1302
2021-03-13,Malaysia,male,75-79,548
2021-03-13,Malaysia,male,80-84,237
2021-03-13,Malaysia,male,85+,56
2021-03-14,Malaysia,female,0-12,48
2021-03-14,Malaysia,female,12-17,930
2021-03-14,Malaysia,female,18-24,7662
2021-03-14,Malaysia,female,25-29,5394
2021-03-14,Malaysia,female,30-34,4793
2021-03-14,Malaysia,female,35-39,4709
2021-03-14,Malaysia,female,40-44,4219
2021-03-14,Malaysia,female,45-49,4269
2021-03-14,Malaysia,female,50-54,4210
2021-03-14,Malaysia,female,55-59,4076
2021-03-14,Malaysia,female,60-64,3266
2021-03-14,Malaysia,female,65-69,2289
2021-03-14,Malaysia,female,70-74,1201
2021-03-14,Malaysia,female,75-79,503
2021-03-14,Malaysia,female,80-84,176
