date_reg,type,maker,colour,fuel,state
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,red,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Pahang
2003-01-02,motosikal,Honda,blue,petrol,Perak
2003-01-02,motosikal,Honda,red,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,black,petrol,Perak
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,black,petrol,Kelantan
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Melaka
2003-01-02,motosikal,Honda,blue,petrol,Pahang
2003-01-02,motosikal,Honda,green,petrol,Selangor
2003-01-02,motosikal_dengan_side_car_barangan,Honda,green,petrol,Perak
2003-01-02,motosikal,Honda,green,petrol,Pahang
2003-01-02,motosikal,Honda,green,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,green,petrol,Terengganu
