series,date,section,index,index_sa
abs,2020-02-01,C,107.0,
abs,2020-03-01,C,106.8,
abs,2020-04-01,C,106.1,
abs,2020-05-01,C,105.3,
abs,2020-06-01,C,104.5,
abs,2020-07-01,C,104.3,
abs,2020-08-01,C,104.8,
abs,2020-09-01,C,104.6,
abs,2020-10-01,C,104.9,
abs,2020-11-01,C,105.8,
abs,2020-12-01,C,106.7,
abs,2021-01-01,C,108.1,
abs,2021-02-01,C,108.6,
abs,2021-03-01,C,109.2,
abs,2021-04-01,C,109.8,
abs,2021-05-01,C,110.6,
abs,2021-06-01,C,111.5,
abs,2021-07-01,C,111.7,
abs,2021-08-01,C,112.2,
abs,2021-09-01,C,112.7,
abs,2021-10-01,C,113.2,
abs,2021-11-01,C,114.7,
abs,2021-12-01,C,114.8,
abs,2022-01-01,C,115.7,
abs,2022-02-01,C,117.2,
abs,2022-03-01,C,118.9,
abs,2022-04-01,C,120.6,
abs,2022-05-01,C,121.8,
abs,2022-06-01,C,122.6,
abs,2022-07-01,C,122.8,
abs,2022-08-01,C,122.7,
abs,2022-09-01,C,121.8,
abs,2022-10-01,C,121.5,
abs,2022-11-01,C,121.8,
abs,2022-12-01,C,121.8,
abs,2023-01-01,C,120.9,
abs,2023-02-01,C,120.7,
abs,2023-03-01,C,120.6,
abs,2023-04-01,C,120.7,
abs,2023-05-01,C,120.4,
abs,2023-06-01,C,120.4,
abs,2023-07-01,C,120.2,
abs,2023-08-01,C,119.9,
abs,2023-09-01,C,120.8,
abs,2023-10-01,C,120.7,
abs,2023-11-01,C,120.1,
abs,2023-12-01,C,120.0,
abs,2024-01-01,C,119.8,
abs,2024-02-01,C,119.8,
abs,2024-03-01,C,121.3,
abs,2024-04-01,C,121.7,
abs,2024-05-01,C,121.6,
abs,2024-06-01,C,121.7,
abs,2024-07-01,C,121.3,
abs,2024-08-01,C,121.1,
abs,2024-09-01,C,119.0,
abs,2024-10-01,C,117.6,
abs,2024-11-01,C,117.9,
abs,2024-12-01,C,118.8,
abs,2025-01-01,C,119.1,
abs,2025-02-01,C,119.4,
abs,2025-03-01,C,119.1,
abs,2025-04-01,C,118.5,
abs,2025-05-01,C,117.9,
abs,2025-06-01,C,116.5,
