state,district,stage,sex,date,students
Johor,Johor Bahru,post_secondary,both,2024-06-30,1368
Johor,Johor Bahru,post_secondary,both,2025-06-30,2095
Johor,Johor Bahru,post_secondary,female,2018-01-01,2541
Johor,Johor Bahru,post_secondary,female,2019-01-01,2627
Johor,Johor Bahru,post_secondary,female,2020-01-01,1428
Johor,Johor Bahru,post_secondary,female,2021-01-01,1464
Johor,Johor Bahru,post_secondary,female,2022-01-01,1363
Johor,Johor Bahru,post_secondary,female,2023-06-30,911
Johor,Johor Bahru,post_secondary,female,2024-06-30,858
Johor,Johor Bahru,post_secondary,female,2025-06-30,1348
Johor,Johor Bahru,post_secondary,male,2018-01-01,1245
Johor,Johor Bahru,post_secondary,male,2019-01-01,1291
Johor,Johor Bahru,post_secondary,male,2020-01-01,774
Johor,Johor Bahru,post_secondary,male,2021-01-01,708
Johor,Johor Bahru,post_secondary,male,2022-01-01,662
Johor,Johor Bahru,post_secondary,male,2023-06-30,552
Johor,Johor Bahru,post_secondary,male,2024-06-30,510
Johor,Johor Bahru,post_secondary,male,2025-06-30,747
Johor,Kluang,primary,both,2017-01-01,25256
Johor,Kluang,primary,both,2018-01-01,25387
Johor,Kluang,primary,both,2019-01-01,25430
Johor,Kluang,primary,both,2020-01-01,25378
Johor,Kluang,primary,both,2021-01-01,25463
Johor,Kluang,primary,both,2022-01-01,25591
Johor,Kluang,primary,both,2023-06-30,25554
Johor,Kluang,primary,both,2024-06-30,25333
Johor,Kluang,primary,both,2025-06-30,25272
Johor,Kluang,primary,female,2017-01-01,12252
Johor,Kluang,primary,female,2018-01-01,12296
Johor,Kluang,primary,female,2019-01-01,12429
Johor,Kluang,primary,female,2020-01-01,12403
Johor,Kluang,primary,female,2021-01-01,12395
Johor,Kluang,primary,female,2022-01-01,12390
Johor,Kluang,primary,female,2023-06-30,12439
Johor,Kluang,primary,female,2024-06-30,12374
Johor,Kluang,primary,female,2025-06-30,12356
Johor,Kluang,primary,male,2017-01-01,13004
Johor,Kluang,primary,male,2018-01-01,13091
Johor,Kluang,primary,male,2019-01-01,13001
Johor,Kluang,primary,male,2020-01-01,12975
Johor,Kluang,primary,male,2021-01-01,13068
Johor,Kluang,primary,male,2022-01-01,13201
Johor,Kluang,primary,male,2023-06-30,13115
Johor,Kluang,primary,male,2024-06-30,12959
Johor,Kluang,primary,male,2025-06-30,12916
Johor,Kluang,secondary,both,2017-01-01,22439
Johor,Kluang,secondary,both,2018-01-01,19878
Johor,Kluang,secondary,both,2019-01-01,19397
Johor,Kluang,secondary,both,2020-01-01,19210
Johor,Kluang,secondary,both,2021-01-01,19206
Johor,Kluang,secondary,both,2022-01-01,19198
Johor,Kluang,secondary,both,2023-06-30,19176
Johor,Kluang,secondary,both,2024-06-30,19646
Johor,Kluang,secondary,both,2025-06-30,19885
Johor,Kluang,secondary,female,2017-01-01,11193
Johor,Kluang,secondary,female,2018-01-01,9803
Johor,Kluang,secondary,female,2019-01-01,9575
Johor,Kluang,secondary,female,2020-01-01,9492
Johor,Kluang,secondary,female,2021-01-01,9400
Johor,Kluang,secondary,female,2022-01-01,9419
Johor,Kluang,secondary,female,2023-06-30,9416
Johor,Kluang,secondary,female,2024-06-30,9667
Johor,Kluang,secondary,female,2025-06-30,9775
Johor,Kluang,secondary,male,2017-01-01,11246
Johor,Kluang,secondary,male,2018-01-01,10075
Johor,Kluang,secondary,male,2019-01-01,9822
Johor,Kluang,secondary,male,2020-01-01,9718
Johor,Kluang,secondary,male,2021-01-01,9806
Johor,Kluang,secondary,male,2022-01-01,9779
Johor,Kluang,secondary,male,2023-06-30,9760
Johor,Kluang,secondary,male,2024-06-30,9979
Johor,Kluang,secondary,male,2025-06-30,10110
Johor,Kluang,post_secondary,both,2018-01-01,1449
Johor,Kluang,post_secondary,both,2019-01-01,1324
Johor,Kluang,post_secondary,both,2020-01-01,795
