date,state,education,addicts
2022-01-01,Johor,tertiary,10
2023-01-01,Johor,tertiary,12
2019-01-01,Johor,tertiary,9
2020-01-01,Johor,tertiary,5
2019-01-01,Kedah,tertiary,14
2020-01-01,Kedah,tertiary,7
2021-01-01,Kedah,tertiary,5
2022-01-01,Kedah,tertiary,10
2023-01-01,Kedah,tertiary,8
2021-01-01,Kelantan,tertiary,6
2022-01-01,Kelantan,tertiary,11
2023-01-01,Kelantan,tertiary,10
2019-01-01,Kelantan,tertiary,7
2020-01-01,Kelantan,tertiary,10
2021-01-01,Melaka,tertiary,5
2022-01-01,Melaka,tertiary,4
2023-01-01,Melaka,tertiary,3
2019-01-01,Melaka,tertiary,2
2020-01-01,Melaka,tertiary,3
2021-01-01,Negeri Sembilan,tertiary,3
2022-01-01,Negeri Sembilan,tertiary,6
2023-01-01,Negeri Sembilan,tertiary,8
2019-01-01,Negeri Sembilan,tertiary,7
2020-01-01,Negeri Sembilan,tertiary,6
2021-01-01,Pahang,tertiary,1
2022-01-01,Pahang,tertiary,8
2023-01-01,Pahang,tertiary,9
2019-01-01,Pahang,tertiary,5
2020-01-01,Pahang,tertiary,5
2021-01-01,Perak,tertiary,9
2022-01-01,Perak,tertiary,15
2023-01-01,Perak,tertiary,13
2019-01-01,Perak,tertiary,8
2020-01-01,Perak,tertiary,6
2021-01-01,Perlis,tertiary,1
2022-01-01,Perlis,tertiary,1
2023-01-01,Perlis,tertiary,1
2019-01-01,Perlis,tertiary,2
2020-01-01,Perlis,tertiary,0
2021-01-01,Pulau Pinang,tertiary,8
2022-01-01,Pulau Pinang,tertiary,11
2023-01-01,Pulau Pinang,tertiary,13
2019-01-01,Pulau Pinang,tertiary,11
2020-01-01,Pulau Pinang,tertiary,7
2021-01-01,Sabah,tertiary,4
2022-01-01,Sabah,tertiary,7
2023-01-01,Sabah,tertiary,8
2019-01-01,Sabah,tertiary,14
2020-01-01,Sabah,tertiary,8
2021-01-01,Sarawak,tertiary,
2022-01-01,Sarawak,tertiary,4
2023-01-01,Sarawak,tertiary,5
2019-01-01,Sarawak,tertiary,3
