date,category,function,value
2019-01-01,economy,agriculture,400
2019-04-01,economy,agriculture,387
2019-07-01,economy,agriculture,257
2019-10-01,economy,agriculture,1270
2020-01-01,economy,agriculture,509
2020-04-01,economy,agriculture,188
2020-07-01,economy,agriculture,363
2020-10-01,economy,agriculture,944
2021-01-01,economy,agriculture,614
2021-04-01,economy,agriculture,278
2021-07-01,economy,agriculture,451
2021-10-01,economy,agriculture,1120
2022-01-01,economy,agriculture,473
2022-04-01,economy,agriculture,567
2022-07-01,economy,agriculture,710
2022-10-01,economy,agriculture,797
2023-01-01,economy,agriculture,445
2023-04-01,economy,agriculture,663
2023-07-01,economy,agriculture,473
2023-10-01,economy,agriculture,1438
2024-01-01,economy,agriculture,694
1996-01-01,economy,trade,198
1996-04-01,economy,trade,40
1996-07-01,economy,trade,308
1996-10-01,economy,trade,666
1997-01-01,economy,trade,168
1997-04-01,economy,trade,234
1997-07-01,economy,trade,137
1997-10-01,economy,trade,746
1998-01-01,economy,trade,36
1998-04-01,economy,trade,228
1998-07-01,economy,trade,751
1998-10-01,economy,trade,2212
1999-01-01,economy,trade,148
1999-04-01,economy,trade,421
1999-07-01,economy,trade,1642
1999-10-01,economy,trade,587
2000-01-01,economy,trade,64
2000-04-01,economy,trade,1991
2000-07-01,economy,trade,240
2000-10-01,economy,trade,1372
2001-01-01,economy,trade,1971
2001-04-01,economy,trade,680
2001-07-01,economy,trade,406
2001-10-01,economy,trade,1773
2002-01-01,economy,trade,391
2002-04-01,economy,trade,808
2002-07-01,economy,trade,601
2002-10-01,economy,trade,1675
2003-01-01,economy,trade,1007
2003-04-01,economy,trade,995
2003-07-01,economy,trade,484
2003-10-01,economy,trade,969
2004-01-01,economy,trade,242
2004-04-01,economy,trade,254
2004-07-01,economy,trade,353
2004-10-01,economy,trade,353
2005-01-01,economy,trade,161
2005-04-01,economy,trade,396
2005-07-01,economy,trade,334
2005-10-01,economy,trade,2330
2006-01-01,economy,trade,116
2006-04-01,economy,trade,339
2006-07-01,economy,trade,1491
2006-10-01,economy,trade,1444
2007-01-01,economy,trade,98
2007-04-01,economy,trade,1214
2007-07-01,economy,trade,1450
2007-10-01,economy,trade,2142
2008-01-01,economy,trade,446
2008-04-01,economy,trade,656
2008-07-01,economy,trade,1156
2008-10-01,economy,trade,2323
2009-01-01,economy,trade,566
2009-04-01,economy,trade,1546
2009-07-01,economy,trade,921
2009-10-01,economy,trade,1882
2010-01-01,economy,trade,537
2010-04-01,economy,trade,1352
2010-07-01,economy,trade,1085
2010-10-01,economy,trade,4013
2011-01-01,economy,trade,847
2011-04-01,economy,trade,1752
2011-07-01,economy,trade,1912
2011-10-01,economy,trade,3854
2012-01-01,economy,trade,2267
2012-04-01,economy,trade,1164
2012-07-01,economy,trade,417
2012-10-01,economy,trade,1195
2013-01-01,economy,trade,1630
2013-04-01,economy,trade,1249
2013-07-01,economy,trade,943
2013-10-01,economy,trade,2421
2014-01-01,economy,trade,1404
2014-04-01,economy,trade,1170
2014-07-01,economy,trade,1135
2014-10-01,economy,trade,979
2015-01-01,economy,trade,1976
2015-04-01,economy,trade,1307
2015-07-01,economy,trade,956
2015-10-01,economy,trade,1400
2016-01-01,economy,trade,1626
2016-04-01,economy,trade,1670
2016-07-01,economy,trade,530
2016-10-01,economy,trade,1014
2017-01-01,economy,trade,1375
2017-04-01,economy,trade,634
2017-07-01,economy,trade,871
2017-10-01,economy,trade,919
2018-01-01,economy,trade,833
2018-04-01,economy,trade,599
2018-07-01,economy,trade,443
2018-10-01,economy,trade,637
2019-01-01,economy,trade,862
2019-04-01,economy,trade,510
2019-07-01,economy,trade,461
2019-10-01,economy,trade,1221
2020-01-01,economy,trade,823
2020-04-01,economy,trade,218
2020-07-01,economy,trade,265
2020-10-01,economy,trade,1270
2021-01-01,economy,trade,794
2021-04-01,economy,trade,439
2021-07-01,economy,trade,319
2021-10-01,economy,trade,204
2022-01-01,economy,trade,719
2022-04-01,economy,trade,296
2022-07-01,economy,trade,512
2022-10-01,economy,trade,780
2023-01-01,economy,trade,455
2023-04-01,economy,trade,794
2023-07-01,economy,trade,285
2023-10-01,economy,trade,1477
2024-01-01,economy,trade,927
1996-01-01,economy,transport,257
1996-04-01,economy,transport,732
1996-07-01,economy,transport,1889
1996-10-01,economy,transport,1652
1997-01-01,economy,transport,634
1997-04-01,economy,transport,1207
1997-07-01,economy,transport,841
1997-10-01,economy,transport,896
1998-01-01,economy,transport,156
1998-04-01,economy,transport,553
1998-07-01,economy,transport,607
1998-10-01,economy,transport,1746
1999-01-01,economy,transport,123
1999-04-01,economy,transport,779
1999-07-01,economy,transport,849
1999-10-01,economy,transport,1142
2000-01-01,economy,transport,146
2000-04-01,economy,transport,488
2000-07-01,economy,transport,927
2000-10-01,economy,transport,3303
2001-01-01,economy,transport,139
2001-04-01,economy,transport,930
2001-07-01,economy,transport,1266
2001-10-01,economy,transport,2707
2002-01-01,economy,transport,548
2002-04-01,economy,transport,1062
2002-07-01,economy,transport,1406
2002-10-01,economy,transport,2385
2003-01-01,economy,transport,1033
2003-04-01,economy,transport,1862
2003-07-01,economy,transport,1363
2003-10-01,economy,transport,3097
2004-01-01,economy,transport,798
2004-04-01,economy,transport,2089
2004-07-01,economy,transport,1503
2004-10-01,economy,transport,2241
2005-01-01,economy,transport,1020
2005-04-01,economy,transport,1345
2005-07-01,economy,transport,1137
2005-10-01,economy,transport,4158
2006-01-01,economy,transport,337
2006-04-01,economy,transport,1126
2006-07-01,economy,transport,1738
2006-10-01,economy,transport,4551
2007-01-01,economy,transport,1510
2007-04-01,economy,transport,1433
2007-07-01,economy,transport,2467
2007-10-01,economy,transport,3090
2008-01-01,economy,transport,1475
2008-04-01,economy,transport,2015
2008-07-01,economy,transport,3353
2008-10-01,economy,transport,2370
2009-01-01,economy,transport,1375
2009-04-01,economy,transport,2397
2009-07-01,economy,transport,2543
2009-10-01,economy,transport,3135
2010-01-01,economy,transport,1464
2010-04-01,economy,transport,1936
2010-07-01,economy,transport,2544
2010-10-01,economy,transport,2721
2011-01-01,economy,transport,1888
2011-04-01,economy,transport,1715
2011-07-01,economy,transport,1922
2011-10-01,economy,transport,4615
2012-01-01,economy,transport,1765
2012-04-01,economy,transport,3032
2012-07-01,economy,transport,2450
2012-10-01,economy,transport,2818
2013-01-01,economy,transport,2365
2013-04-01,economy,transport,1599
2013-07-01,economy,transport,1679
2013-10-01,economy,transport,2509
2014-01-01,economy,transport,1970
2014-04-01,economy,transport,1027
2014-07-01,economy,transport,1350
2014-10-01,economy,transport,2924
2015-01-01,economy,transport,2011
2015-04-01,economy,transport,1075
2015-07-01,economy,transport,1470
2015-10-01,economy,transport,2137
2016-01-01,economy,transport,2495
2016-04-01,economy,transport,1684
2016-07-01,economy,transport,2008
2016-10-01,economy,transport,1640
2017-01-01,economy,transport,2120
2017-04-01,economy,transport,3535
2017-07-01,economy,transport,1443
2017-10-01,economy,transport,3331
2018-01-01,economy,transport,3502
2018-04-01,economy,transport,1962
2018-07-01,economy,transport,2120
2018-10-01,economy,transport,9420
2019-01-01,economy,transport,2029
2019-04-01,economy,transport,4371
2019-07-01,economy,transport,2042
2019-10-01,economy,transport,5307
2020-01-01,economy,transport,1795
2020-04-01,economy,transport,2584
2020-07-01,economy,transport,3217
2020-10-01,economy,transport,5183
2021-01-01,economy,transport,2114
2021-04-01,economy,transport,4300
2021-07-01,economy,transport,3319
2021-10-01,economy,transport,3255
2022-01-01,economy,transport,4109
2022-04-01,economy,transport,3431
2022-07-01,economy,transport,2780
2022-10-01,economy,transport,6240
2023-01-01,economy,transport,3322
2023-04-01,economy,transport,4851
2023-07-01,economy,transport,4409
2023-10-01,economy,transport,5179
2024-01-01,economy,transport,3613
1996-01-01,economy,utilities,44
1996-04-01,economy,utilities,99
1996-07-01,economy,utilities,241
1996-10-01,economy,utilities,349
1997-01-01,economy,utilities,78
1997-04-01,economy,utilities,118
1997-07-01,economy,utilities,184
1997-10-01,economy,utilities,1116
1998-01-01,economy,utilities,87
1998-04-01,economy,utilities,380
1998-07-01,economy,utilities,432
1998-10-01,economy,utilities,1069
1999-01-01,economy,utilities,20
1999-04-01,economy,utilities,510
1999-07-01,economy,utilities,266
1999-10-01,economy,utilities,1054
2000-01-01,economy,utilities,135
2000-04-01,economy,utilities,263
2000-07-01,economy,utilities,466
2000-10-01,economy,utilities,654
2001-01-01,economy,utilities,94
2001-04-01,economy,utilities,172
2001-07-01,economy,utilities,280
2001-10-01,economy,utilities,546
2002-01-01,economy,utilities,165
2002-04-01,economy,utilities,287
2002-07-01,economy,utilities,335
2002-10-01,economy,utilities,1020
2003-01-01,economy,utilities,24
2003-04-01,economy,utilities,150
2003-07-01,economy,utilities,340
2003-10-01,economy,utilities,406
2004-01-01,economy,utilities,91
2004-04-01,economy,utilities,199
2004-07-01,economy,utilities,143
2004-10-01,economy,utilities,512
2005-01-01,economy,utilities,36
2005-04-01,economy,utilities,315
2005-07-01,economy,utilities,266
2005-10-01,economy,utilities,865
2006-01-01,economy,utilities,163
2006-04-01,economy,utilities,303
2006-07-01,economy,utilities,531
2006-10-01,economy,utilities,1248
2007-01-01,economy,utilities,127
2007-04-01,economy,utilities,298
2007-07-01,economy,utilities,746
2007-10-01,economy,utilities,1188
2008-01-01,economy,utilities,137
2008-04-01,economy,utilities,536
2008-07-01,economy,utilities,783
2008-10-01,economy,utilities,1339
2009-01-01,economy,utilities,195
2009-04-01,economy,utilities,483
2009-07-01,economy,utilities,510
2009-10-01,economy,utilities,1711
2010-01-01,economy,utilities,238
2010-04-01,economy,utilities,536
2010-07-01,economy,utilities,792
2010-10-01,economy,utilities,3720
2011-01-01,economy,utilities,149
2011-04-01,economy,utilities,761
2011-07-01,economy,utilities,2415
2011-10-01,economy,utilities,2687
2012-01-01,economy,utilities,826
2012-04-01,economy,utilities,1131
2012-07-01,economy,utilities,1179
2012-10-01,economy,utilities,2383
2013-01-01,economy,utilities,662
2013-04-01,economy,utilities,676
2013-07-01,economy,utilities,685
2013-10-01,economy,utilities,1309
2014-01-01,economy,utilities,446
2014-04-01,economy,utilities,610
2014-07-01,economy,utilities,881
2014-10-01,economy,utilities,1549
2015-01-01,economy,utilities,449
2015-04-01,economy,utilities,676
2015-07-01,economy,utilities,750
2015-10-01,economy,utilities,1762
2016-01-01,economy,utilities,293
2016-04-01,economy,utilities,917
2016-07-01,economy,utilities,699
2016-10-01,economy,utilities,1018
2017-01-01,economy,utilities,435
2017-04-01,economy,utilities,599
2017-07-01,economy,utilities,371
2017-10-01,economy,utilities,1071
2018-01-01,economy,utilities,763
2018-04-01,economy,utilities,409
2018-07-01,economy,utilities,345
2018-10-01,economy,utilities,737
2019-01-01,economy,utilities,656
